name,address,bairro,link,lat,lng
Alexandre’s Bar,"Rua David Alves do Vale, 68 | Santa Rosa, Belo Horizonte - MG",Santa Rosa,https://comidadibuteco.com.br/buteco/alexandres-bar/,-19.863401106822668,-43.944169239553716
Amarelim do Prado,"Avenida Francisco Sá, 658 | Prado, Belo Horizonte - MG",Prado,https://comidadibuteco.com.br/buteco/amarelim-do-prado/,-19.9280595,-43.959751
Andrade’s Beer,"Rua Dona Geni, 32 |  Belo Horizonte - MG",Belo Horizonte - MG,https://comidadibuteco.com.br/buteco/andrades-beer/,-19.8037827,-43.99612125
Arcos Bar,"Rua da Bahia, 1144 | Centro, Belo Horizonte - MG",Centro,https://comidadibuteco.com.br/buteco/arcos-bar/,-19.92586953191069,-43.9376996233046
Armazém Santa Amélia,"Avenida da Sinfonia, 253 | Santa Amélia, Belo Horizonte - MG",Santa Amélia,https://comidadibuteco.com.br/buteco/armazem-santa-amelia/,-19.832557305710235,-43.97240626323761
Avalanche Espeteria,"Avenida Doutor Álvaro Camargos, 1113 | São João Batista, Belo Horizonte - MG",São João Batista,https://comidadibuteco.com.br/buteco/avalanche-espeteria/,-19.82858795,-43.962654
Azougue Fogo e Bar,"Rua do Ouro, 835 | Serra, Belo Horizonte - MG",Serra,https://comidadibuteco.com.br/buteco/azougue-fogo-e-bar/,-19.940361057270085,-43.92002453127008
Baiuca,"Rua Piauí, 1884 | Funcionários, Belo Horizonte - MG",Funcionários,https://comidadibuteco.com.br/buteco/baiuca/,-19.93000325271364,-43.92641321063096
Bar Bambú,"Rua Divisa Nova, 670 | Salgado Filho, Belo Horizonte - MG",Salgado Filho,https://comidadibuteco.com.br/buteco/3231-revision-v1/,-19.94401265623174,-43.98406322101843
Bar Bendita Baderna,"Rua Silva Fortes, 47 | União, Belo Horizonte - MG",União,https://comidadibuteco.com.br/buteco/bar-bendita-baderna/,-19.88117895,-43.9272578
Bar da Cíntia,"Rua Pastor Rui Franco, 257 | São João Batista (Venda Nova), Belo Horizonte - MG",São João Batista (Venda Nova),https://comidadibuteco.com.br/buteco/bar-da-cintia/,-19.816867562824537,-43.96947561246321
Bar da Fia,"Rua dos Astecas, 2722 | Santa Mônica, Belo Horizonte - MG",Santa Mônica,https://comidadibuteco.com.br/buteco/bar-da-fia/,-19.829923143377467,-43.979163665682265
Bar da Lu,"Rua Geralda Marinho, 41 | São João Batista (Venda Nova), Belo Horizonte - MG",São João Batista (Venda Nova),https://comidadibuteco.com.br/buteco/bar-da-lu/,-19.826883075136255,-43.96458532901545
Bar da Silvânia,"Rua Soares Nogueira, 801 | Camargos, Belo Horizonte - MG",Camargos,https://comidadibuteco.com.br/buteco/bar-da-silvania/,-19.940235654522017,-44.02160927107595
Bar do Bartolomeu,"Rua Arthur Luchesi, 356 | Santa Helena (Barreiro), Belo Horizonte - MG",Santa Helena (Barreiro),https://comidadibuteco.com.br/buteco/bar-do-bartolomeu/,-19.98513401512027,-44.01126486279129
Bar do Bem,"RUA VICENTINA COUTINHO CAMARGOS, 100, BELO HORIZONTE - MG",Álvaro Camargos,https://comidadibuteco.com.br/buteco/bar-do-bem/,-19.915362050391114,-44.00625884850015
Bar do Kim,"Rua Júlio de Castilho, 1071 | Palmeiras, Belo Horizonte – MG",Palmeiras,https://comidadibuteco.com.br/buteco/bar-do-kim/,,
Bar do Nelson,"Av Vicente Risola, 1000 | Belo Horizonte - MG",Belo Horizonte - MG,https://comidadibuteco.com.br/buteco/bar-do-nelson/,,
Bar do Primo,"Avenida Amazonas, 4649 | Nova Suíça, Belo Horizonte - MG",Nova Suíça,https://comidadibuteco.com.br/buteco/bar-do-primo/,-19.92976946138757,-43.97794508521424
Bar do Regis,"Rua Gávea, 422 | Jardim América, Belo Horizonte - MG",Jardim América,https://comidadibuteco.com.br/buteco/24790-revision-v1/,-19.938848935867405,-43.97524207547455
Bar do Romeu,"Rua Aniri, 8 | Guarani, Belo Horizonte - MG",Guarani,https://comidadibuteco.com.br/buteco/5665-revision-v1/,-19.843663018437844,-43.929969055110114
Bar dos Meninos,"Rua Lindolfo Deodoro, 503 | Salgado Filho, Belo Horizonte - MG",Salgado Filho,https://comidadibuteco.com.br/buteco/bar-dos-meninos/,-19.939650294667295,-43.978977414317406
Bar Du Du,"Rua Violeta, 369 | Esplanada, Belo Horizonte - MG",Esplanada,https://comidadibuteco.com.br/buteco/bar-du-du/,-19.90683458535765,-43.905051452747415
Bar e Restaurante Bom Sabor,"Rua Java, 386 | Nova Suíça, Belo Horizonte - MG",Nova Suíça,https://comidadibuteco.com.br/buteco/bar-e-restaurante-bom-sabor/,-19.933362674511667,-43.97467093506382
Bar e Restaurante do Joãozinho,"Rua Pinheiro Chagas, 295 | Barreiro, Belo Horizonte - MG",Barreiro,https://comidadibuteco.com.br/buteco/bar-e-restaurante-do-joaozinho/,-19.97779389908404,-44.01379308475379
Bar Estabelecimento,"Rua Monte Alegre, 160 | Serra, Belo Horizonte - MG",Serra,https://comidadibuteco.com.br/buteco/bar-estabelecimento/,-19.9363019,-43.9239093
Bar Junto Juntinho,"Rua Cura D’Ars, 542 | Prado, Belo Horizonte - MG",Prado,https://comidadibuteco.com.br/buteco/bar-junto-juntinho/,-19.92606935442189,-43.96407420199779
Bar Mania Mineira,"Rua Paracatu, 1099 | Santo Agostinho, Belo Horizonte - MG",Santo Agostinho,https://comidadibuteco.com.br/buteco/5668-revision-v1/,-19.93160235,-43.9544742
Bar Pompéu,"Rua São Miguel, 779 | Itapoã, Belo Horizonte - MG",Itapoã,https://comidadibuteco.com.br/buteco/3135-revision-v1/,-19.843188469923923,-43.956529387235776
Bar Stella,"Avenida Saramenha, 1599 | Guarani, Belo Horizonte - MG",Guarani,https://comidadibuteco.com.br/buteco/bar-stella/,-19.843990054375375,-43.918054094237704
