name,address,bairro,link,lat,lng
Bar da Árvore,"Rua São Miguel Arcanjo, 1265 | Jardim Nova Europa, Campinas - SP",Jardim Nova Europa,https://comidadibuteco.com.br/buteco/bar-da-arvore-2/,-22.940420238949265,-47.05633565397826
Bar da Loira,"Rua Conselheiro Martim Francisco, 443 | Campinas - SP",Campinas - SP,https://comidadibuteco.com.br/buteco/bar-da-loira/,-22.922729478343005,-47.10295900815467
Bar da Vila,"Rua Madalena Barbosa Ferreira, 178 | Campinas - SP",Campinas - SP,https://comidadibuteco.com.br/buteco/bar-da-vila/,-22.922176921102015,-47.03435461527193
Bar do Baú,"Avenida Francisco de Paula Oliveira Nazareth, 1193 | Campinas - SP",Campinas - SP,https://comidadibuteco.com.br/buteco/bar-do-bau-2/,-22.920099374754518,-47.085617618166026
Bar do Braz,"Rua Itapecirica da Serra, 1445 | Campinas - SP",Campinas - SP,https://comidadibuteco.com.br/buteco/bar-do-braz/,-22.926243946615834,-47.08619298697763
Bar do Cação,"Av. Doutor Armando Sales de Oliveira, 55 | Campinas - SP",Campinas - SP,https://comidadibuteco.com.br/buteco/bar-do-cacao/,,
Bar do Carioca,"Rua Erasmo Braga, 1067 | Jardim Chapadão, Campinas - SP",Jardim Chapadão,https://comidadibuteco.com.br/buteco/3330-revision-v1/,-22.8942899,-47.077822
Bar do Durante,"Praça Menegon, 93 |  Jaguariúna - SP",Jaguariúna - SP,https://comidadibuteco.com.br/buteco/bar-do-durante/,-22.678727299996424,-46.984258955635696
Bar do Furlan,"Rua Delfino Cintra, 539 | Botafogo, Campinas - SP",Botafogo,https://comidadibuteco.com.br/buteco/bar-do-furlan/,-22.89981335155353,-47.068008245054955
Bar do Léo,"Rua José dos Santos, 260 |  Campinas - SP",Campinas - SP,https://comidadibuteco.com.br/buteco/bar-do-leo/,-22.90982021286962,-47.09964910240619
Bar do Luís,"Rua Paraná, 216 | Campinas - SP",Campinas - SP,https://comidadibuteco.com.br/buteco/bar-do-luis/,-22.921641794056292,-47.074278224850254
Bar do Mineiro,"Tarcisio Villela Lima, 441 | Jaguariúna - SP",Jaguariúna - SP,https://comidadibuteco.com.br/buteco/bar-do-mineiro-2/,-22.696672910380396,-47.004127889410555
Bar do Nicola,"Rua Dona Maria Umbelina Couto, 644 | Taquaral, Campinas - SP",Taquaral,https://comidadibuteco.com.br/buteco/bar-do-nicola/,-22.8829057,-47.0552876
Bar do Português,"Rua Antônio Cezarino, 497 | Centro, Campinas - SP",Centro,https://comidadibuteco.com.br/buteco/bar-do-portugues/,-22.904144193487657,-47.05342731704671
