name,neighborhood_or_region,address,address_complement,phone,opening_hours,dish_name,dish_description,dish_image_url,source_url,listing_page,lat,lng,bairro,link
Alvoroço,Jacarepaguá,"Estrada dos Bandeirantes, 7967 | Jacarepaguá, Rio de Janeiro – RJ","Ljs. 1, 2 e 3",21994390023,Terça-feira: 18h – 23h | Quarta-feira: 18h – 23h | Quinta-feira: 12h – 23h | Sexta-feira: 12h – 23h | Sábado: 12h – 23h | Domingo: 12h – 23h,-,Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Alvoroço Moela abaixo Uma mistura da tradição porteña com raízes dos nossos botecos tradicionais que se prezam. Empanada de moela com catupiry e chimichurri de alho-poró.,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081559/alvoroco_moelaabaixo_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/alvoroco/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,-22.9700883,-43.4133357,Jacarepaguá,https://comidadibuteco.com.br/buteco/alvoroco/
Antônio’s Nordestino,Tanque,"R. Ati, 365 | Tanque, Rio de Janeiro – RJ",,21997988080,Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 0h | Sábado: 11h – 0h | Domingo: 11h – 0h,Caminho da,"Roça Base de queijo coalho empanado, coberto com carne-seca desfiada e cream cheese. Servidos com couve crocante e crispy de alho-poró. Acompanha molho agridoce de melado de rapadura flambado na cachaça de jambu.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081609/antoniosnordestino_caminhodaroca_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/antonios-nordestino/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,-22.92116,-43.3557862,Tanque,https://comidadibuteco.com.br/buteco/antonios-nordestino/
Armazém São Thiago,Santa Teresa,"R. Áurea, 26 | Santa Teresa, Rio de Janeiro – RJ",,2122320822,Segunda-feira: 12:00 – 23h | Terça-feira: 12h – 23h | Quarta-feira: 12h – 23h | Quinta-feira: 12h – 23h | Sexta-feira: 12h – 23h | Sábado: 12h – 23h | Domingo: 12h – 22h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Armazém São Thiago Checkup Almofadinhas recheadas: peito bovino com tomate seco e alho-poró, coração de alcatra com gorgonzola e espinafre e língua bovina ao molho madeira com agrião. Acompanha geleia de vinho.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081617/armazemsaothiago_checkup_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/armazem-sao-thiago/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,-22.9228736,-43.188443,Santa Teresa,https://comidadibuteco.com.br/buteco/armazem-sao-thiago/
Art Chopp,Taquara,"Estrada Macembu, 63 – 75 | Taquara, Rio de Janeiro – RJ",,21995668424,Terça-feira: 12h – 0h30 | Quarta-feira: 12h – 0h30 | Quinta-feira: 12h – 0h30 | Sexta-feira: 12h – 0h30 | Sábado: 12h – 0h30 | Domingo: 12h – 23h,-,Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Art Chopp Que delícia de rabada! Rabada desfiada e defumada com agrião refogado e polenta frita.,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081626/artchopp_quedeliciaderabada_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/3500-revision-v1/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,-22.9301377,-43.3800057,Taquara,https://comidadibuteco.com.br/buteco/3500-revision-v1/
Baixo Gago,Laranjeiras,"R. Gago Coutinho, 51 | Laranjeiras, Rio de Janeiro – RJ",,(21) 98849-3672 | (21) 2556-0638,Segunda-feira: 12h – 22h | Terça-feira: 12h – 22h | Quarta-feira: 12h – 23h30 | Quinta-feira: 12h – 23h30 | Sexta-feira: 12h – 23h30 | Sábado: 12h – 23h30 | Domingo: 12h – 17h30,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Baixo Gago Porogodó Cestinhas de massa de pastel assadas, recheadas com costela bovina e alho-poró e carne-seca com alho-poró. Acompanha geleia artesanal de damasco.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081735/baixogago_porogodo_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/3508-revision-v1/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,-22.9314033,-43.1811229,Laranjeiras,https://comidadibuteco.com.br/buteco/3508-revision-v1/
Bar da Áurea,Leme,"Ladeira Ari Barroso, 20 | Leme, Rio de Janeiro – RJ",,21992739273,Terça-feira: 12h – 21h | Quarta-feira: 12h – 21h | Quinta-feira: 12h – 21h | Sexta-feira: 12h – 21h | Sábado: 12h – 21h | Domingo: 12h – 21h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar da Áurea Brasileirinho – Sou brasileiro e não desisto nunca Uma releitura da feijoada em forma de charuto, acompanhada de um melado de laranja e farofa amarela.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081752/bardaaurea_brasileirinhosoubrasileiroenaodesistonunca_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-da-aurea/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,,,Leme,https://comidadibuteco.com.br/buteco/bar-da-aurea/
Bar da Tati,Copacabana,"Pça. Serzedelo Correia, 15 | Copacabana, Rio de Janeiro – RJ",Lj. C,2135183879,Terça-feira: 11h – 0h | Quarta-feira: 11h – 0h | Quinta-feira: 11h – 0h | Sexta-feira: 11h – 1h | Sábado: 11h – 1h | Domingo: 14h – 0h,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar da Tati Maria Isabel da Tati Carne-seca em arroz ao molho de tomate, com jerimum, maxixe e bacon. Finalizada com queijo coalho grelhado e acompanhada de farofa crocante de castanhas com couve crispy.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081800/bardatati_mariaisabeldatati_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-da-tati/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,,,Copacabana,https://comidadibuteco.com.br/buteco/bar-da-tati/
Bar do Aldo,Copacabana,"Rua Ronald de Carvalho, 161 | Copacabana, Rio de Janeiro – RJ",Lj. B,21979284388,Segunda-feira: 17h – 2h | Terça-feira: 17h – 2h | Quarta-feira: 17h – 2h | Quinta-feira: 17h – 2h | Sexta-feira: 17h – 2h | Sábado: 17h – 2h | Domingo: 17h – 2h,-,Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do Aldo Camarão Folgado Croquete de camarão com recheio de cream cheese e alho-poró. Servido com molho de ervas apimentado.,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081809/bardoaldo_camaraofolgado_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-do-aldo/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,-22.9642737,-43.17728,Copacabana,https://comidadibuteco.com.br/buteco/bar-do-aldo/
Bar do Augusto,Centro,"Avenida Mem de Sá, 72 | Centro, Rio de Janeiro – RJ","Lj. A, Ssl",21979379966,Segunda-feira: 12h – 0h | Terça-feira: 12h – 0h | Quarta-feira: 12h – 0h | Quinta-feira: 12h – 0h | Sexta-feira: 12h – 0h | Sábado: 12h – 0h | Domingo: 12h – 0h |,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do Augusto Lá vem ele de novo Bolinho à mineira, recheado com couve, tutu e costelinha suína. Finalizado com catupiry, pimenta-biquinho e cebola crispy.",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081918/bardoaugusto_lavemeledenovo_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-do-augusto/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,-22.9121342,-43.1872121,Centro,https://comidadibuteco.com.br/buteco/bar-do-augusto/
Bar do Canedo,Grajaú,"R. Barão de Mesquita, 916 | Grajaú, Rio de Janeiro – RJ",,2122383028,Segunda-feira: 12h – 22h | Terça-feira: 12h – 22h | Quarta-feira: 12h – 22h | Quinta-feira: 12h – 22h | Sexta-feira: 12h – 22h | Sábado: 12h – 22h | Domingo: 12h – 22h |,-,"Comida di Buteco O maior concurso de butecos do Brasil! O maior concurso de butecos do Brasil! Acompanhe Facebook Instagram Twitter Youtube Início O Comida di Buteco Butecos Participantes O Concurso + Mecânica e calendário Indique um buteco Vencedores Patrocinadores Contato Mais + Cultura di Buteco Receitas Deliciosas Causos Santander Bar do Canedo Yo no creo en brujas, pero que las hay, las hay Costela bovina em um creme especial de quatro queijos, servida numa caminha de aipim com tapioca fritos. “Chuva” de couve mineira frita para finalizar!",https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2026/03/09081927/bardocanedo_yonocreoenbrujasperoquelashaylashay_capital_2026_joana_1-1024x683.jpg,https://comidadibuteco.com.br/buteco/bar-do-canedo/,https://comidadibuteco.com.br/butecos/rio-de-janeiro/,-22.9238379,-43.2550402,Grajaú,https://comidadibuteco.com.br/buteco/bar-do-canedo/
