name,address,bairro,link,lat,lng
Anita Restaurante e Petiscaria,"Rua Anita Garibaldi, 4596 | Curitiba - PR",Curitiba - PR,https://comidadibuteco.com.br/buteco/anita-restaurante-e-petiscaria/,,
Apollo Bar,"Rua Canal Belém, 8027 | Uberaba, Curitiba - PR",Uberaba,https://comidadibuteco.com.br/buteco/apollo-bar/,-25.4949886,-49.2257641
Armazém Califórnia,"Rua Saldanha Marinho, 68 | Centro, Curitiba - PR",Centro,https://comidadibuteco.com.br/buteco/armazem-california/,-25.4290164,-49.2725571
Armazém do Espetinho,"Rua Barão de Santo Ângelo, 1507 | Xaxim, Curitiba - PR",Xaxim,https://comidadibuteco.com.br/buteco/armazem-do-espetinho/,-25.5154986,-49.2724203
Baba Salim,"Rua Amintas de Barros, 45 | Centro, Curitiba - PR",Centro,https://comidadibuteco.com.br/buteco/4745-revision-v1/,-25.4277415,-49.2653985
Bar do Cláudio,"Rua Niterói, 265 | Cajuru, Curitiba - PR",Cajuru,https://comidadibuteco.com.br/buteco/bar-do-claudio/,-25.4630711,-49.2147878
Bar do Edmundo,"Avenida Prefeito Erasto Gaertner, 1764 | Bacacheri, Curitiba - PR",Bacacheri,https://comidadibuteco.com.br/buteco/4742-revision-v1/,-25.3959746,-49.231401065061306
Bar do Gildo,"Rua José Merhy, 745 | Boa Vista, Curitiba - PR",Boa Vista,https://comidadibuteco.com.br/buteco/bar-do-gildo/,-25.394567,-49.2444826
Bar do Montejorge,"Rua Professor Dario Velloso, 581 | Vila Izabel, Curitiba - PR",Vila Izabel,https://comidadibuteco.com.br/buteco/bar-do-montejorge/,-25.4589415,-49.2951001
Bar do Morango,"Rua David Geronasso, 567 | Boa Vista, Curitiba - PR",Boa Vista,https://comidadibuteco.com.br/buteco/bar-do-morango/,-25.3921147,-49.2516914
Bar Quintal Maria Flor,"Rua Holanda, 1089 | Boa Vista, Curitiba - PR",Boa Vista,https://comidadibuteco.com.br/buteco/bar-quintal-maria-flor/,-25.39619,-49.2502056
Basset Lanches,"Rua Marechal Hermes, 1024 | Centro Cívico, Curitiba - PR",Centro Cívico,https://comidadibuteco.com.br/buteco/basset-lanches/,-25.40966345,-49.26580416185028
Bom Bolinho,"Rua Adrianópolis, 221 | Cruzeiro, São José dos Pinhais - PR",Cruzeiro,https://comidadibuteco.com.br/buteco/bom-bolinho/,-25.5400526,-49.1893064
Botega Bar e Petiscaria,"Avenida Manoel Ribas, 7250 | Santa Felicidade, Curitiba - PR",Santa Felicidade,https://comidadibuteco.com.br/buteco/botega-bar-e-petiscaria/,-25.3987798,-49.3396568
Brado Bar,"Rua Vitório Marenda, 36  | Afonso Pena, São José dos Pinhais - PR",Afonso Pena,https://comidadibuteco.com.br/buteco/brado-bar/,-25.5083187,-49.1834831
Cabana Bar & Petiscaria,"Avenida Marechal Humberto de Alencar Castelo Branco, 655 | Cristo Rei, Curitiba - PR",Cristo Rei,https://comidadibuteco.com.br/buteco/cabana-bar-petiscaria-2/,-25.4326813,-49.2378184
Casa Velha,"Rua Mateus Leme, 5981 | Abranches, Curitiba - PR",Abranches,https://comidadibuteco.com.br/buteco/3082-revision-v1/,-25.380394850000002,-49.27338344255486
Dom Rodrigo,"Avenida Vereador Toaldo Túlio, 2275 | Santa Felicidade, Curitiba - PR",Santa Felicidade,https://comidadibuteco.com.br/buteco/4760-autosave-v1/,-25.411342599999998,-49.34904852716984
Edem Pub,"Rua Rolândia, 52, Cruzeiro - São José dos Pinhais - PR",Cruzeiro,https://comidadibuteco.com.br/buteco/edem-pub/,-25.539228642663314,-49.18618172018066
Farofa Bar e Restaurante,"Rua Coronel Francisco Heráclito dos Santos, 1195 | Jardim das Américas, Curitiba - PR",Jardim das Américas,https://comidadibuteco.com.br/buteco/farofa-bar-e-restaurante/,-25.4586352,-49.23233105
Gordo & Magro Gastrobar,"Rua Theodoro Makiolka, 2009 | Santa Cândida, Curitiba - PR",Santa Cândida,https://comidadibuteco.com.br/buteco/gordo-magro-gastrobar/,-25.3660778,-49.2401505
Ite’s Bar,"Rua Luiz Franca, 287 | Cajuru, Curitiba - PR",Cajuru,https://comidadibuteco.com.br/buteco/ites-bar-2/,-25.4438785,-49.2274143
Jacobina Bar,"Rua Almirante Tamandaré, 1365 | Alto da Rua XV, Curitiba - PR",Alto da Rua XV,https://comidadibuteco.com.br/buteco/jacobina-bar/,-25.42807848743469,-49.25525950807179
Jambu Bar Jardim,"Rua Petit Carneiro, 790 | Água Verde, Curitiba - PR",Água Verde,https://comidadibuteco.com.br/buteco/jambu-bar-jardim/,-25.4513455,-49.2845171
KO Gastropub,"Rua Pedro Krasinski, 60 | Capão Raso, Curitiba - PR",Capão Raso,https://comidadibuteco.com.br/buteco/ko-gastropub/,-25.4988947,-49.2936342
Mr. Chapeiro Gastrobar,"Rua Omar Raymundo Picheth, 784 | Xaxim, Curitiba - PR",Xaxim,https://comidadibuteco.com.br/buteco/mr-chapeiro-gastrobar/,-25.5103523,-49.2771221
O Portão Bar e Petiscaria,"Rua Augusto de Mari, 4069 | Portão, Curitiba - PR",Portão,https://comidadibuteco.com.br/buteco/o-portao-bar-e-petiscaria/,-25.4753865,-49.2925592
O Taberneiro,"Rua Dom Pedro I, 643 | Água Verde, Curitiba - PR",Água Verde,https://comidadibuteco.com.br/buteco/o-taberneiro/,-25.4591722,-49.2825507
Obrzut-Bar,"Rua Moacir Vieira Gomes, 49 | Campo Comprido, Curitiba - PR",Campo Comprido,https://comidadibuteco.com.br/buteco/obrzut-bar/,-25.4477638,-49.3491532
Paparico Gastrobar,"Rua Leão Sallum, 1240 | Boa Vista, Curitiba - PR",Boa Vista,https://comidadibuteco.com.br/buteco/paparico-gastrobar/,-25.391717800000002,-49.25302285723987
PickNick Bar,"Avenida Manoel Ribas, 5966 | Santa Felicidade, Curitiba - PR",Santa Felicidade,https://comidadibuteco.com.br/buteco/4787-revision-v1/,-25.4040811,-49.3283037
Quintal do Santa,"Estrada Santa de Cândida, 140 | Santa Cândida, Curitiba - PR",Santa Cândida,https://comidadibuteco.com.br/buteco/quintal-do-santa/,-25.3632931597213,-49.228353457188454
Rosti Bar e Food,"Rua Enette Dubard, 175 | Tatuquara, Curitiba - PR",Tatuquara,https://comidadibuteco.com.br/buteco/rosti-bar-e-food/,-25.5610098,-49.339163
Schnaps Bar,"Rua André Zanetti, 129 | Vista Alegre, Curitiba - PR",Vista Alegre,https://comidadibuteco.com.br/buteco/4793-autosave-v1/,-25.413488,-49.2907766
Seu Luís Bar e Petiscaria,"Rua José Ziliotto, 223 | São José dos Pinhais - PR",São José dos Pinhais - PR,https://comidadibuteco.com.br/buteco/seu-luis-bar-e-petiscaria/,,
Trieste Bar e Restaurante,"Rua Professor Francisco Zardo, 920  | Santa Felicidade, Curitiba - PR",Santa Felicidade,https://comidadibuteco.com.br/buteco/trieste-bar-e-restaurante/,-25.40518985,-49.34240496419818
Zezito’s,"Rua Dom Pedro I, 345 | Água Verde, Curitiba - PR",Água Verde,https://comidadibuteco.com.br/buteco/zezitos/,-25.45803245,-49.285242398899115
