name,address,bairro,link,lat,lng
Bar e Restaurante Tarrafada,"Avenida das Rendeiras, 1900 | Lagoa da Conceição, Florianópolis - SC",Lagoa da Conceição,https://comidadibuteco.com.br/buteco/bar-e-restaurante-tarrafada/,-27.6096258,-48.4542132
Basílio Steakhouse,"R. Intendente João Nunes Vieira, 1058 - Ingleses do Rio Vermelho, Florianópolis - SC, 88058-100",Ingleses do Rio Vermelho,https://comidadibuteco.com.br/buteco/basilio-steakhouse/,-27.438845601392643,-48.39377516564055
Beer Praia,"Rua Amaro Coelho, 197 | Barra da Lagoa, Florianópolis - SC",Barra da Lagoa,https://comidadibuteco.com.br/buteco/beer-praia/,-27.575221085036627,-48.42320094249305
Bendito Boteco,"Rua da Universidade, 346 | Pedra Branca, Palhoça - SC",Pedra Branca,https://comidadibuteco.com.br/buteco/bendito-boteco/,-27.623057000000003,-48.677352244486244
Borogodó da Ilha,"Praça Olívio Amorim, 150 | Centro, Florianópolis - SC",Centro,https://comidadibuteco.com.br/buteco/borogodo-da-ilha/,-27.594827350149714,-48.54457818190596
Boteco Caravela,"Servidão José Cardoso de Oliveira, 380 - Jurerê, Florianópolis - SC",Jurerê Internacional,https://comidadibuteco.com.br/buteco/boteco-caravela/,-27.433829737975305,-48.51454354335329
Boteco do Alemão,"Avenida Hercílio Luz, 692 | Centro, Florianópolis - SC",Centro,https://comidadibuteco.com.br/buteco/boteco-do-alemao/,-27.601809080630748,-48.55017626853333
Botequim das Flores,"Rodovia Gilson da Costa Xavier, 1520 | Sambaqui, Florianópolis - SC",Sambaqui,https://comidadibuteco.com.br/buteco/botequim-das-flores/,-27.50008507809828,-48.52405666355108
Camarão Manezinho,"Avenida Leoberto Leal, 1066 | Barreiros, São José - SC",Barreiros,https://comidadibuteco.com.br/buteco/camarao-manezinho/,-27.57264255549433,-48.602664353212745
Centro Social da Cerveja,"Avenida César Seara, 19 | Carvoeira, Florianópolis - SC",Carvoeira,https://comidadibuteco.com.br/buteco/centro-social-da-cerveja/,-27.6023523,-48.5260291
Dona Jovem Bar,"Avenida Hercílio Luz, 636 | Centro, Florianópolis - SC",Centro,https://comidadibuteco.com.br/buteco/dona-jovem-bar/,-27.59777215,-48.547637740161406
Gambarzeira,"Rua Cônego Serpa, 68 | Santo Antônio de Lisboa, Florianópolis - SC",Santo Antônio de Lisboa,https://comidadibuteco.com.br/buteco/gambarzeira/,-27.505764403399592,-48.520797241856314
Giro Floripa,"Rua Madre Maria Vilac, 1773 | Florianópolis - SC",Florianópolis - SC,https://comidadibuteco.com.br/buteco/giro-floripa/,,
La Previa,"Rua Cyro Belli Müller, 53 | Santa Mônica, Florianópolis - SC",Santa Mônica,https://comidadibuteco.com.br/buteco/la-previa/,-27.589854348340463,-48.5112604971539
Mr. Expetto,"Rua Lauro Linhares, 1065 | Trindade, Florianópolis - SC",Trindade,https://comidadibuteco.com.br/buteco/mr-expetto/,-27.58654746009237,-48.52484775905561
Nacanoa Oyster Bar,"Rodovia Baldicero Filomeno, 7176 | Ribeirão da Ilha, Florianópolis - SC",Ribeirão da Ilha,https://comidadibuteco.com.br/buteco/nacanoa-oyster-bar/,-27.77341136075264,-48.57458621924257
Petiscaria Chopp e Prosa,"Rodovia Gilson da Costa Xavier, 1478 | Sambaqui, Florianópolis - SC",Sambaqui,https://comidadibuteco.com.br/buteco/petiscaria-chopp-e-prosa/,-27.50008507809828,-48.52405666355108
Puerto Escondido,"Rodovia Doutor Antônio Luiz Moura Gonzaga, 3211 | Rio Tavares, Florianópolis - SC",Rio Tavares,https://comidadibuteco.com.br/buteco/puerto-escondido/,-27.64138949607707,-48.47503163328017
Quintal 32,"Rua Cruz e Souza, 32 | Florianópolis - SC",Florianópolis - SC,https://comidadibuteco.com.br/buteco/quintal-32/,-27.62461938433723,-48.6623054379915
Quiosque do Mozo,Praça Pereira Oliveira | Florianópolis - SC,Florianópolis - SC,https://comidadibuteco.com.br/buteco/quiosque-do-mozo/,-27.59544065,-48.548782952175586
Rufus Bar,"Rua Manoel Severino de Oliveira, 655 | Lagoa da Conceição, Florianópolis - SC",Lagoa da Conceição,https://comidadibuteco.com.br/buteco/rufus-bar/,-27.601997112515733,-48.4693094164038
Santo di Casa,"Rodovia Doutor Antônio Luiz Moura Gonzaga, 2409 | Rio Tavares, Florianópolis - SC",Rio Tavares,https://comidadibuteco.com.br/buteco/santo-di-casa/,-27.638195180482054,-48.473434402715796
Sufoco’s Bar,"Avenida Campeche, 3733 | Campeche, Florianópolis - SC",Campeche,https://comidadibuteco.com.br/buteco/sufocos-bar/,-27.6556758,-48.4796245
Tonho Boteco,"Rua Quinze de Novembro, 181 | Santo Antônio de Lisboa, Florianópolis - SC",Santo Antônio de Lisboa,https://comidadibuteco.com.br/buteco/10087-revision-v1/,-27.507589553253858,-48.519827691516305
Trapiche Bar,"Rua Jerônimo Coelho, 60 | Centro, Florianópolis - SC",Centro,https://comidadibuteco.com.br/buteco/trapiche-bar/,-27.5973289,-48.553059956317256
Zeca Bar e Restaurante,"Avenida Pequeno Príncipe, 3348 | Campeche, Florianópolis - SC",Campeche,https://comidadibuteco.com.br/buteco/10089-revision-v1/,-27.676851304906048,-48.49957654064263
