name,address,bairro,link,lat,lng
Arriégua Bar e Petiscaria,"Rua Doutor Manuel Teófilo, 805 | Itaperi, Fortaleza - CE",Itaperi,https://comidadibuteco.com.br/buteco/arriegua-bar-e-petiscaria/,-3.7847102,-38.5621028930758
Bar do Nem,"Rua General Clarindo de Queiroz, 1745 | Centro, Fortaleza - CE",Centro,https://comidadibuteco.com.br/buteco/10094-revision-v1/,-3.7300486499999996,-38.53915958438674
Bar O Camocim,"Rua Padre Mororó, 1012 | Centro, Fortaleza - CE",Centro,https://comidadibuteco.com.br/buteco/3801-revision-v1/,-3.7255516,-38.5376141
Boteco Di Garagem,"Rua Bento Gonçalves, 703 | Novo Mondubim, Fortaleza - CE",Novo Mondubim,https://comidadibuteco.com.br/buteco/boteco-di-garagem/,-3.8114694,-38.58699591508074
Buteco Afonso Pescados,"Alameda das Begônias, 202 | Fortaleza - CE",Fortaleza - CE,https://comidadibuteco.com.br/buteco/buteco-afonso-pescados/,-3.7488093,-38.4730289
Delícias do Pará,"Rua Paschoal de Castro Alves, 741 | Vicente Pinzon, Fortaleza - CE",Vicente Pinzon,https://comidadibuteco.com.br/buteco/delicias-do-para/,-3.7331432,-38.4751108
Espetinho do Ceará,"Estrada do Siqueira, 901 | Conjunto Esperança, Fortaleza - CE",Conjunto Esperança,https://comidadibuteco.com.br/buteco/espetinho-do-ceara/,-3.8090701,-38.59227017876078
Espetinho O Primo,"Rua XXVII, 348 | Fortaleza - CE",Fortaleza - CE,https://comidadibuteco.com.br/buteco/espetinho-o-primo/,,
Estaleiro do Gaúcho,"Avenida Beira Mar, 4436 | Fortaleza - CE",Fortaleza - CE,https://comidadibuteco.com.br/buteco/estaleiro-do-gaucho/,-3.7257069457624437,-38.49683206490664
GPetiscos,"Rua Sousa Girão, 133 | José Bonifácio, Fortaleza - CE",José Bonifácio,https://comidadibuteco.com.br/buteco/gpetiscos/,-3.741446,-38.525037581452864
Hiper Lanches,"Rua Professor Carlos Lobo, 75 | Fortaleza - CE",Fortaleza - CE,https://comidadibuteco.com.br/buteco/hiper-lanches/,-3.795205364859958,-38.483337387482244
Juju Boa Ideia,"Rua Pescador João Santana, 49 | Fortaleza - CE",Fortaleza - CE,https://comidadibuteco.com.br/buteco/juju-boa-ideia/,-3.7269106,-38.4741601
Long Beer,"Rua Bélgica, 1050 | Maraponga, Fortaleza - CE",Maraponga,https://comidadibuteco.com.br/buteco/long-beer/,-3.7901247483292404,-38.56602299211494
Mar de Rosas,"Rua dos Tabajaras, 542 | Centro, Fortaleza - CE",Centro,https://comidadibuteco.com.br/buteco/mar-de-rosas/,-3.7185626000000003,-38.52022885
Mr Grego,"Rua Carlos Juaçaba, S/N  | Fortaleza - CE",Fortaleza - CE,https://comidadibuteco.com.br/buteco/mr-grego/,-3.7866550054541,-38.558488771994455
Nosso Bar & Petiscaria,"Rua Chico Mota, 110 | Dias Macedo, Fortaleza - CE",Dias Macedo,https://comidadibuteco.com.br/buteco/nosso-bar-petiscaria-2/,-3.786525459164726,-38.52202639237657
Premium Petiscaria,"Avenida Monsenhor Tabosa, 1039 | Meireles, Fortaleza - CE",Meireles,https://comidadibuteco.com.br/buteco/premium-petiscaria/,-3.7246305052113593,-38.50374693590628
Sertão Xique-Xique,"Rua Doutor Manuel Teófilo, 805 | Itaperi, Fortaleza - CE",Itaperi,https://comidadibuteco.com.br/buteco/sertao-xique-xique-4/,-3.7847102,-38.5621028930758
Tasquinha Portuguesa,"Rua Olavo Bilac, 1032 | Fortaleza - CE",Fortaleza - CE,https://comidadibuteco.com.br/buteco/tasquinha-portuguesa/,-3.8393202837604035,-38.525278398138866
Tempero do Marujo,"Avenida dos Jangadeiros, 1024 | Fortaleza - CE",Fortaleza - CE,https://comidadibuteco.com.br/buteco/tempero-do-marujo/,-3.726558375525005,-38.47923587228441
Toca do Peba,"Rua Professor Costa Mendes, 266 | Bom Futuro, Fortaleza - CE",Bom Futuro,https://comidadibuteco.com.br/buteco/toca-do-peba/,-3.757185,-38.5438084
Varandão da Vila,"Avenida General Osório de Paiva, 1612 | Parangaba, Fortaleza - CE",Parangaba,https://comidadibuteco.com.br/buteco/5791-revision-v1/,-3.7815842,-38.5761836
