name,address,bairro,link,lat,lng
24 Do 4,"Beco Travessa Luís Mendes, 16 | Manaus - AM",Manaus - AM,https://comidadibuteco.com.br/buteco/24-do-4/,-3.0990708,-60.0151022
A Porcaria,"Avenida Efigênio Sales, 1521 | Aleixo, Manaus - AM",Aleixo,https://comidadibuteco.com.br/buteco/a-porcaria/,-3.0847621745916842,-60.0003552387593
Aretê Delícias Regionais,"Rua Síria, 521| Cidade Nova, Manaus - AM",Cidade Nova,https://comidadibuteco.com.br/buteco/arete-delicias-regionais/,-3.0126650477269945,-59.97697701153278
Bambu Bar,"Rua Carlos Lecor, 1015 | Manaus - AM",Manaus - AM,https://comidadibuteco.com.br/buteco/3659-revision-v1/,-3.080949,-60.012472
Bar Calçada Alta,"Rua Costa Azevedo, 96 | Centro, Manaus - AM",Centro,https://comidadibuteco.com.br/buteco/bar-calcada-alta/,-3.13218525,-60.0222525
Biatüwi,"Rua Bernardo Ramos, 97 | Centro, Manaus - AM",Centro,https://comidadibuteco.com.br/buteco/biatuwi/,-3.133969239062148,-60.029174597104046
Biergarten Manaus,"Rua Mato Grosso, 16 | Flores, Manaus - AM",Flores,https://comidadibuteco.com.br/buteco/biergarten-manaus/,-3.0661035500000002,-60.01229705
Boteco do Marcellinho,"Rua Portugal, 1 | Manaus - AM",Manaus - AM,https://comidadibuteco.com.br/buteco/boteco-do-marcellinho/,-3.0839335722982795,-60.0557446624002
Confraria do Aranha,"Avenida Visconde de Porto Alegre, 385 | Centro, Manaus - AM",Centro,https://comidadibuteco.com.br/buteco/confraria-do-aranha/,-3.1309652221976747,-60.01342178883282
Don Espetto,"Avenida Efigênio Sales, 1521 | Aleixo, Manaus - AM",Aleixo,https://comidadibuteco.com.br/buteco/don-espetto/,-3.0847621745916842,-60.0003552387593
Espetus DU MANU,"Av. Margarita, 174 | Nova Cidade, Manaus - AM",Nova Cidade,https://comidadibuteco.com.br/buteco/9612-revision-v1/,-2.9996238,-59.9910725
Flutuante Peixe Boi,"Rio Tarumã Açu, S/N | Manaus - AM",Manaus - AM,https://comidadibuteco.com.br/buteco/flutuante-peixe-boi/,-2.9959997462164045,-60.10662963906119
Gostinho Paraense,"Rua Barão de Indaiá, 9 | Flores, Manaus - AM",Flores,https://comidadibuteco.com.br/buteco/gostinho-paraense/,-3.0614728991231663,-60.01388135492404
Gringo’s Bar,"Avenida Eduardo Ribeiro, 926 | Centro, Manaus - AM",Centro,https://comidadibuteco.com.br/buteco/gringos-bar/,-3.135896723896888,-60.02491743251502
Manos Lanches,"Rua Comandante Nathanael Albuquerque, 187 | Paz, Manaus - AM",Paz,https://comidadibuteco.com.br/buteco/manos-lanches/,-3.0557556388814002,-60.0255557387087
Minhas Delícias Culinária Paraense,"Avenida Santa Aurora, 10 | Monte das Oliveiras, Manaus - AM",Monte das Oliveiras,https://comidadibuteco.com.br/buteco/minhas-delicias-culinaria-paraense/,-2.9900713715721645,-59.99278311287622
Mira Flores,"Inhaúma, 196 | Flores, Manaus - AM",Flores,https://comidadibuteco.com.br/buteco/mira-flores/,-3.057173966566711,-60.012349447211015
O Porreta Amazônico,"Av. Margarita, 1984 | Nova Cidade, Manaus - AM",Nova Cidade,https://comidadibuteco.com.br/buteco/o-porreta-amazonico/,-2.9996238,-59.9910725
Oxente Cheff,"Avenida Professor Nilton Lins, 3867 | Flores, Manaus - AM",Flores,https://comidadibuteco.com.br/buteco/oxente-cheff/,-3.0636872642839164,-60.00659989695699
Point do Acarajé,"Rua do Comércio, 115 | Manaus - AM",Manaus - AM,https://comidadibuteco.com.br/buteco/point-do-acaraje/,-2.998137182976858,-60.035675546816904
Quintal dos Amigos,"Rua Teófilo Said, 135 | Manaus - AM",Manaus - AM,https://comidadibuteco.com.br/buteco/quintal-dos-amigos/,-3.0725941373046335,-60.004357902222736
Quiosque Beer,"Avenida Bartolomeu B. da Silva, 5 | Dom Pedro, Manaus - AM",Dom Pedro,https://comidadibuteco.com.br/buteco/quiosque-beer/,-3.0897773,-60.041784050000004
Tempero do Rafão,"Avenida Desembargador João Machado, 4181 | Planalto, Manaus - AM",Planalto,https://comidadibuteco.com.br/buteco/tempero-do-rafao/,-3.06748061039119,-60.060111982915885
Varanda’s Rio Negro,"Av. Pe. Agostinho Caballero Martin, 955 |  Manaus - AM",Manaus - AM,https://comidadibuteco.com.br/buteco/varandas-rio-negro-2/,-3.1150022739894094,-60.05150772232103
