name,address,bairro,link,lat,lng
ARMÔNICO BAR,"R. Dr. Saulo Porto Virmond, 478 - Maringá - PR",Zona 2,https://comidadibuteco.com.br/buteco/armonico-bar/,-23.440793756181595,-51.93122653462461
Atari bar,"Av. Prudente de Morais, 945 - Zona 7, Maringá - PR",,https://comidadibuteco.com.br/buteco/atari-bar/,,
BAR APENAS BAR,"Av. Monteiro Lobato, 375 - Zona 08, Maringá - PR",Jardim Novo Horizonte III,https://comidadibuteco.com.br/buteco/bar-apenas-bar/,-23.43368517078613,-51.918852296914906
BAR DO CLEBINHO,"AVENIDA PARANAVAÍ, 697 | ZONA 06, MARINGÁ – PR",ZONA 06,https://comidadibuteco.com.br/buteco/bar-do-clebinho/,-23.42453775,-51.9598114
Bar do Moes,"Av. Mario Clapier Urbinati, 795 - Jardim Universitário, Maringá - PR, 87020-260",Jardim Universitário,https://comidadibuteco.com.br/buteco/bar-do-moes/,-23.40742036181114,-51.94142774621923
Bar do Ponce,"R. La Paz, 1055 - Vila Morangueira, Maringá - PR",Chácara Morangueira,https://comidadibuteco.com.br/buteco/bar-do-ponce/,-23.409900422100506,-51.91297524911286
Bar Restaurante Casa da feijoada do Paulinho,"Av. São Paulo, 2576 - Maringá",Jadim Acema,https://comidadibuteco.com.br/buteco/bar-restaurante-casa-da-feijoada-do-paulinho/,-23.413017097739388,-51.93262751040748
Bar Santa Fé,"AVENIDA MORANGUEIRA, 50 | ZONA 07",ZONA 07,https://comidadibuteco.com.br/buteco/bar-santa-fe/,-23.411379900427534,-51.9321170270033
Biboca,"Av. Bento Munhoz da Rocha Neto, 394 -Maringá - PR",Jardim Castor,https://comidadibuteco.com.br/buteco/biboca/,-23.4174802846277,-51.92909949656816
Budega do Vizinho,"Av. Alziro Zarur, 919 - Maringá - PR",Jardim Real,https://comidadibuteco.com.br/buteco/budega-do-vizinho/,-23.401783690710623,-51.959885117614434
Buteco do Kaká,"Av. Colombo, 7282 - Zona 6, Maringá - PR,",,https://comidadibuteco.com.br/buteco/buteco-do-kaka/,,
Chapa Quente Grill,"Av. Prudente de Morais, 925 - Zona 7, Maringá - PR,",,https://comidadibuteco.com.br/buteco/chapa-quente-grill/,,
Cine bar,"Av. Brasil, 2843 - Centro, Maringá - PR, 87013-000",,https://comidadibuteco.com.br/buteco/cine-bar/,-23.872918378817705,-53.8867812534296
Divino’s,"R. Carmen Miranda, 1961, Maringa",Alto das Grevílleas,https://comidadibuteco.com.br/buteco/divinos/,-23.474772463745197,-51.90933537951615
Doce Caos Bar,"R. Osvaldo Cruz, 394 - Maringá - PR,",Jardim Ipiranga,https://comidadibuteco.com.br/buteco/doce-caos-bar/,-23.411339952706516,-51.94348369459725
Mercearia Paraná,"R. Osvaldo Cruz, 608 - Zona 7, Maringá - PR",,https://comidadibuteco.com.br/buteco/mercearia-parana/,,
Michelitos Bar,"Av. Dr. Alexandre Rasgulaeff, 5570 - Jardim Paraizo, Maringá - PR",Jardim Paraizo,https://comidadibuteco.com.br/buteco/michelitos-bar/,-23.39374284791014,-51.94995596467137
Mott Oficina Café,"Av. Arquiteto Nildo Ribeiro da Rocha, 4164 - Jardim Higienópolis, Maringá - PR",Jardim Novo Horizonte III,https://comidadibuteco.com.br/buteco/mott-oficina-cafe/,-23.448920818536273,-51.9491622004119
ParaiBar,"Avenida Tuiuti, 1881, Maringá - PR, 87043-360",Jardim Pinheiros,https://comidadibuteco.com.br/buteco/paraibar/,-23.407077339551005,-51.89869094369518
Petiscaria Correa,"Av. Londrina, 917 - Zona 08, Maringá - PR, 87050-730",Jardim Vila Rica,https://comidadibuteco.com.br/buteco/petiscaria-correa/,-23.439598699999998,-51.911887500000006
Severina Sabor do Nordeste,"R. La Paz, 1240 - Vila Morangueira, Maringá - PR, 87040-260",Chácara Morangueira,https://comidadibuteco.com.br/buteco/severina-sabor-do-nordeste/,-23.409900422100506,-51.91297524911286
Toca do Peixe,"Av. Mauá, 2720 - Zona 3, Maringá - PR",,https://comidadibuteco.com.br/buteco/toca-do-peixe/,,
Venda du Carmo,"Av. Londrina, 795 - Zona 8, Maringá - PR, 87050-730",,https://comidadibuteco.com.br/buteco/venda-du-carmo/,,
