name,address,bairro,link,lat,lng
611 House Bar,"Rua Raul Correia, 611 | Funcionários, Montes Claros - MG",Funcionários,https://comidadibuteco.com.br/buteco/611-house-bar/,-16.741206533295795,-43.878093687230205
Bar do Kal,"Rua Antônio Martins, 50 | Santos Reis, Montes Claros - MG",Santos Reis,https://comidadibuteco.com.br/buteco/bar-do-kal/,-16.70127579226187,-43.87052036780291
Bar do Soró,"Rua Padre Eustáquio, 135 | São José, Montes Claros - MG",São José,https://comidadibuteco.com.br/buteco/bar-soro/,-16.721261558402002,-43.855985959296135
Bar do Thom,"Rua Humaitá, 50 | Morrinhos, Montes Claros - MG",Morrinhos,https://comidadibuteco.com.br/buteco/thom-bar/,-16.73579555274707,-43.86063854973326
Bendita Espeteria,"Avenida Cula Mangabeira, 661 | Santo Expedito, Montes Claros - MG",Santo Expedito,https://comidadibuteco.com.br/buteco/bendita-espeteria/,-16.739288119022586,-43.87193494312223
Bom Apetite Primavera Delivery,"Avenida Louis Francescon, 383 | Montes Claros - MG",Montes Claros - MG,https://comidadibuteco.com.br/buteco/bom-apetite-primavera-delivery/,,
Cantina da Paty,"Al. Quita Guimarães, 200 - Acacias, Montes Claros - MG, 39404-575",Acácias,https://comidadibuteco.com.br/buteco/cantina-da-paty/,-16.723526485988874,-43.81800301455945
Carrancas Grill,"Rodovia BR 365, 267 | Montes Claros - MG",Montes Claros - MG,https://comidadibuteco.com.br/buteco/carrancas-grill/,,
Delícias do Crepe,"Rua Raul Correia, 344 | Funcionários, Montes Claros - MG",Funcionários,https://comidadibuteco.com.br/buteco/delicias-do-crepe-2/,-16.741206533295795,-43.878093687230205
Kentura 2,"Rua Santa Maria, 662 | Todos os Santos, Montes Claros - MG",Todos os Santos,https://comidadibuteco.com.br/buteco/kentura-2/,-16.719271365737082,-43.870855696294626
Lenna no fogão,"Avenida Ipês, 340 | Edgar Pereira, Montes Claros - MG",Edgar Pereira,https://comidadibuteco.com.br/buteco/lenna-no-fogao/,-16.7058809717645,-43.86029369432937
Lopes Bistrô,"Rua Ernesto Neves, 451 | Edgar Pereira, Montes Claros - MG",Edgar Pereira,https://comidadibuteco.com.br/buteco/lopes-bistro-2/,-16.70780086878707,-43.86103420443621
Mandacaru,"Avenida Castelar Prates, 380 | Major Prates, Montes Claros - MG",Major Prates,https://comidadibuteco.com.br/buteco/mandacaru/,-16.748980331382455,-43.881568400649456
Moc Sabor,"Avenida Nossa Senhora de Fátima, 7 | São Judas Tadeu I, Montes Claros - MG",São Judas Tadeu I,https://comidadibuteco.com.br/buteco/moc-sabor/,-16.750990409055444,-43.85837977541043
Nobre’s Bar,"Avenida A, 981 | Jardim Primavera, Montes Claros - MG",Jardim Primavera,https://comidadibuteco.com.br/buteco/nobres-bar/,-16.696980545832037,-43.81136030843869
Pé de Cana,"Av. Ampére, 462 | Lourdes, Montes Claros",Lourdes,https://comidadibuteco.com.br/buteco/pe-de-cana-2/,-16.72710883035999,-43.85053532397726
Petisco de ouro,"R. Júlio Takaki, 221 - Conj. Cristo Rei, Montes Claros",,https://comidadibuteco.com.br/buteco/petisco-de-ouro/,,
São Bento Espetaria,"Rua Barão do Rio Branco, 253 | Centro, Montes Claros - MG",Centro,https://comidadibuteco.com.br/buteco/sao-bento-espetaria/,-16.17054324493562,-42.29180590333125
Uai Fai Bar MOC,"Avenida Nossa Senhora de Fátima, 1232 | Maracanã, Montes Claros - MG",Maracanã,https://comidadibuteco.com.br/buteco/uai-fai-bar-moc/,-16.756903704328238,-43.86963289124286
Villa Espetaria,"Rua Genésio Tolentino, 15 | Cidade Nova, Montes Claros - MG",Cidade Nova,https://comidadibuteco.com.br/buteco/villa-espetaria/,-16.739313368599902,-43.86645104220317
War Pigs Rock Bar,"Avenida Mestra Fininha, 1054 | Cidade Santa Maria, Montes Claros - MG",Cidade Santa Maria,https://comidadibuteco.com.br/buteco/war-pigs-rock-bar/,-16.730262368362865,-43.875071321388745
