name,address,bairro,link,lat,lng
Adegadega,"Rua Juiz Aderbal de Oliveira, 209 | Centro, São João de Meriti - RJ",Centro,https://comidadibuteco.com.br/buteco/adegadega/,-22.803851965883403,-43.36934206793413
Bar Cevina Lounge,"Rodovia Washington Luiz, 2500 | Parque Duque de Caxias, Duque de Caxias - RJ",Parque Duque de Caxias,https://comidadibuteco.com.br/buteco/bar-cevina-lounge/,-22.782061153840484,-43.285744714243144
Bar do Diretor,"Rua Major Correia de Melo, 353 | Jardim Vinte e Cinco de Agosto, Duque de Caxias - RJ",Jardim Vinte e Cinco de Agosto,https://comidadibuteco.com.br/buteco/bar-do-diretor/,,
Bar Parada 16,"Rua Deputado Sá Rego, 289 | Vila São Luís, Duque de Caxias - RJ",Vila São Luís,https://comidadibuteco.com.br/buteco/bar-parada-16/,,
Beer Soccer Club,"Rua Passo da Pátria, 228 | Duque de Caxias - RJ",Duque de Caxias - RJ,https://comidadibuteco.com.br/buteco/beer-soccer-club/,,
Buteco do Cabeça,"Rua Cacequi, 19 | Califórnia, Nova Iguaçu - RJ",Califórnia,https://comidadibuteco.com.br/buteco/buteco-do-cabeca/,-22.756222525849793,-43.4365902951476
Calçadas Grill,"R. Est. Eliane Castanheira, 548 - Centro, São João de Meriti - RJ, 25510-242",,https://comidadibuteco.com.br/buteco/calcadas-grill/,,
Chopperia do Baixinho,"Avenida Automóvel Clube, 2697 | Vilar dos Teles, São João de Meriti - RJ",Vilar dos Teles,https://comidadibuteco.com.br/buteco/chopperia-do-baixinho/,-22.777606554465475,-43.36115337115122
Dez41 Bar e Gastronomia,"Av. Presidente Lincoln, 1041 - Jardim Meriti, São João de Meriti - RJ, 25555-201",Jardim Meriti,https://comidadibuteco.com.br/buteco/deza-botequim/,-22.780489997206203,-43.372781223812275
Edinho do Caranguejo,"Rua Humberto de Campos, 143 | Duque de Caxias - RJ",Duque de Caxias - RJ,https://comidadibuteco.com.br/buteco/5874-revision-v1/,-22.678785520982366,-43.23969452988065
Joca BBE,"Rua Treze de Maio, 840 | Nova Iguaçu - RJ",Nova Iguaçu - RJ,https://comidadibuteco.com.br/buteco/joca-bbe/,-22.721191254410453,-43.52321659327071
King’s Bar,"Rua Estudante Eliane Castanheira, 808 | São João de Meriti - RJ",São João de Meriti - RJ,https://comidadibuteco.com.br/buteco/kings-bar/,,
Nosso Canto,"Rua Genuíno Siqueira, 1395 | Jardim Meriti, São João de Meriti - RJ",Jardim Meriti,https://comidadibuteco.com.br/buteco/nosso-canto/,-22.784879777410666,-43.371235290586434
Panela Velha Gastronomia,"Rua Vereador Oscar Dias Oliveira, 210 | Duque de Caxias - RJ",Duque de Caxias - RJ,https://comidadibuteco.com.br/buteco/panela-velha-gastronomia/,,
Pasta da Nonna,"Avenida Brasil, 367 | Vila São Luís, Duque de Caxias - RJ",Vila São Luís,https://comidadibuteco.com.br/buteco/pasta-da-nonna/,,
Showrrasquinho e Carne de Sol,"Rua Expedicionário José Amaro, 1236 | Vila São Luís, Duque de Caxias - RJ",Vila São Luís,https://comidadibuteco.com.br/buteco/showrrasquinho-e-carne-de-sol/,,
Tainá Gourmet,"Rua Expedicionário José Amaro, 838 | Vila São Luís, Duque de Caxias - RJ",Vila São Luís,https://comidadibuteco.com.br/buteco/taina-gourmet/,,
