name,address,bairro,link,lat,lng
Bar da Elaine,"Rua Caetés, 64 |Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/3727-revision-v1/,-22.0884316,-46.5813547
Bar da Kombi,"Rua Aníbal José dos Reis, 89 | Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/bar-da-kombi/,,
Bar do David,"LEONOR FURLANETO DELGADO, 140 |  POÇOS DE CALDAS - MG",POÇOS DE CALDAS - MG,https://comidadibuteco.com.br/buteco/bar-do-david-3/,-21.81742567197882,-46.51674948538006
Bar do Jayme,"Avenida Francisco Salles, 1493 | Centro, Poços de Caldas - MG",Centro,https://comidadibuteco.com.br/buteco/3606-revision-v1/,-21.78531142548327,-46.5671781555784
Bar e Rest. Delícias da Vó Divina,"Rua Junqueiras, 500 | Centro, Poços de Caldas - MG",Centro,https://comidadibuteco.com.br/buteco/bar-e-rest-delicias-da-vo-divina/,-21.7868835667476,-46.57073734196278
Bar e Restaurante da Ilza,"Estr. de Terra Rodovia Presidente Juscelino Kubitscheck BR 459, Km 22, S/N Poços de Caldas - MG",,https://comidadibuteco.com.br/buteco/bar-e-restaurante-da-ilza/,,
Bar Original,"Avenida Francisco Salles, 36 | Centro, Poços de Caldas - MG",Centro,https://comidadibuteco.com.br/buteco/3612-autosave-v1/,-21.786250120520585,-46.56071216507559
BH Bar,"Avenida João Pinheiro, 2838 | Centro, Poços de Caldas - MG",Centro,https://comidadibuteco.com.br/buteco/bh-bar/,-21.786097840449127,-46.57191759342541
Birra Choperia,"Rua Samuel Frazão, 5 | Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/birra-choperia/,-21.806687057493054,-46.542948429765275
Black Jack Taphouse,"Rua Mato Grosso, 393 | Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/black-jack-taphouse/,-21.78464485,-46.5697747522344
Boi de Ouro,"Rua Lázaro Fraga, 259 | Jardim Country Club, Poços de Caldas - MG",Jardim Country Club,https://comidadibuteco.com.br/buteco/boi-de-ouro/,-21.792006085414894,-46.598789533128496
Boteco Benvindo,"Rua Barros Cobra, 68 | Centro, Poços de Caldas - MG",Centro,https://comidadibuteco.com.br/buteco/boteco-benvindo/,-21.789674389438584,-46.56470030923053
Boteco Cana Benta,"Rua Camerino Nogueira da Silva, 15 | Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/10210-revision-v1/,-21.788354524221184,-46.534045472288206
Boteco do Ronaldo,"Avenida Monsenhor Alderigi, 885 | Jardim Country Club, Poços de Caldas - MG",Jardim Country Club,https://comidadibuteco.com.br/buteco/boteco-do-ronaldo/,-21.787623024728887,-46.59817303337423
Budega da Esquina,"Rua Justina Vieira de Oliveira, 320 |Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/budega-da-esquina/,-21.79885,-46.5775682
Buthekytha Bar,"Rua Israel, 200 | Parque das Nações, Poços de Caldas - MG",Parque das Nações,https://comidadibuteco.com.br/buteco/buthekytha-bar/,-21.84841080478662,-46.56358640863736
Casa do Peixe e Cia.,"Praça João Moreira Salles, 51 | Jardim dos Estados, Poços de Caldas - MG",Jardim dos Estados,https://comidadibuteco.com.br/buteco/casa-do-peixe-e-cia-2/,,
Espetaria Petiscaria Sem Nome,"Avenida Antônio Emídio de Rezende, 302 | Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/espetaria-petiscaria-sem-nome/,-21.79258871938913,-46.59852312426225
Fabiano’s Bar,"Rua Fanny de Carvalho Prata, 547 | Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/fabianos-bar/,-21.796725487999506,-46.55024109100405
Faisqueira,"Rua Guaicurus, 532 | Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/faisqueira/,-21.78418937725809,-46.60267114936456
Pirata’s Snooker Bar,"Avenida Magda Pinto Amarante, 132 | Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/piratas-snooker-bar-2/,-21.812328407182118,-46.5484380699517
Rota do Petisco,"Rua Vereador João de Siqueira Loyola, 423 | Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/rota-do-petisco/,-21.800089562801112,-46.50909007645485
Seu Bar,"Rua José Marcondes da Fonseca, 105 | Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/seu-bar/,-21.796825395274087,-46.57599774794362
Tô em Casa Bar,"Avenida João Pinheiro, 618 | Centro, Poços de Caldas - MG",Centro,https://comidadibuteco.com.br/buteco/to-em-casa-bar/,-21.786097840449127,-46.57191759342541
Tufas Bier,"Rua Professora Nicolina Bernardo, 495 | Poços de Caldas - MG",Poços de Caldas - MG,https://comidadibuteco.com.br/buteco/tufas-bier/,-21.79292900962591,-46.57428158354408
