name,address,bairro,link,lat,lng
A Virgem Bar,"Rua Olavo Bilac, 251 | Azenha, Porto Alegre - RS",Azenha,https://comidadibuteco.com.br/buteco/a-virgem-bar/,-30.0429561,-51.2167985
Arvo Bar,"Rua Coronel Fernando Machado, 1200 | Centro, Porto Alegre - RS",Centro,https://comidadibuteco.com.br/buteco/arvo-bar/,-30.0347585,-51.2264775
Bar 44 Amarelinho,"Rua Vinte e Cinco de Julho, 263 | Santa Maria Goretti, Porto Alegre - RS",Santa Maria Goretti,https://comidadibuteco.com.br/buteco/bar-44-amarelinho/,-30.005864258814746,-51.18257066664189
Bar do Alemão,"Rua Doutor Timóteo, 201 | Floresta, Porto Alegre - RS",Floresta,https://comidadibuteco.com.br/buteco/bar-do-alemao-3/,-30.018043499999997,-51.2002025
Barril Pub,"Avenida Wenceslau Escobar, 2997 | Cristal, Porto Alegre - RS",Cristal,https://comidadibuteco.com.br/buteco/9838-revision-v1/,-30.09870860272651,-51.24835728035061
Bella Pastéis Artesanais,"Av. Edgar Pires de Castro, 2010 | Hípica, Porto Alegre - RS",Hípica,https://comidadibuteco.com.br/buteco/bella-pasteis-artesanais/,-30.155553738765928,-51.18134547911469
Boteco Vitória,"Rua Felizardo, 445 | Jardim Botânico, Porto Alegre - RS",Jardim Botânico,https://comidadibuteco.com.br/buteco/boteco-vitoria/,-30.051496694057644,-51.18252674094188
Buteco Petiscos,"Rua Marechal Floriano Peixoto, 387 | Centro, Porto Alegre - RS",Centro,https://comidadibuteco.com.br/buteco/buteco-petiscos/,-30.852663609262102,-51.81038820949131
Casa Revoa,"Rua Lobo da Costa, 195 | Azenha, Porto Alegre - RS",Azenha,https://comidadibuteco.com.br/buteco/casa-revoa/,-30.043818802817924,-51.21676029523848
Casa Vasco,"Rua Vasco da Gama, 207 | Bom Fim, Porto Alegre - RS",Bom Fim,https://comidadibuteco.com.br/buteco/casa-vasco/,-30.031792,-51.20967965
El Farol,"Rua Mariante, 855 | Rio Branco, Porto Alegre - RS",Rio Branco,https://comidadibuteco.com.br/buteco/4851-revision-v1/,-30.032782526424334,-51.20375107196823
Eucaliptos Sports Bar,"Rua Barão de Cerro Largo, 300 | Menino Deus, Porto Alegre - RS",Menino Deus,https://comidadibuteco.com.br/buteco/eucaliptos-sports-bar/,-30.06179371966451,-51.229029802875445
GENÚ,"Rua Coronel Genuíno, 116 | Centro, Porto Alegre - RS",Centro,https://comidadibuteco.com.br/buteco/genu/,-30.035455176662914,-51.22688123731207
Lanches do Alemão,"Rua Professor João de Souza Ribeiro, 994 | Humaitá, Porto Alegre - RS",Humaitá,https://comidadibuteco.com.br/buteco/lanches-do-alemao/,-29.98290903866886,-51.191571908893984
Larica 4° Distrito,"Rua Santos Dumont, 710 | Floresta, Porto Alegre - RS",Floresta,https://comidadibuteco.com.br/buteco/larica-4-distrito/,-30.01278585071942,-51.20725947664239
Mão Santa Pub e Restaurante,"Avenida Juca Batista, 186 | Cavalhada, Porto Alegre - RS",Cavalhada,https://comidadibuteco.com.br/buteco/mao-santa-pub-e-restaurante/,,
Masah! Sports Bar,"Avenida Farroupilha, 3833 | Marechal Rondon, Canoas - RS",Marechal Rondon,https://comidadibuteco.com.br/buteco/masah-sports-bar/,-29.91415865904028,-51.16573640849959
Ninkasi Bar,"Rua João Alfredo, 557 | Cidade Baixa, Porto Alegre - RS",Cidade Baixa,https://comidadibuteco.com.br/buteco/ninkasi-bar/,-30.039616691237335,-51.226735540143274
Piko Bar e Cozinha,"Rua Pedro Boticário, 560 | Partenon, Porto Alegre - RS",Partenon,https://comidadibuteco.com.br/buteco/piko-bar-e-cozinha/,-30.072178770210762,-51.20016741336687
Pilão Restaurante,"Rua José de Alencar, 766 | Menino Deus, Porto Alegre - RS",Menino Deus,https://comidadibuteco.com.br/buteco/pilao-restaurante/,-30.06028608618258,-51.21822121590245
Pinhos Botecaria Pub,"Avenida Victor Barreto, 3588 | Centro, Canoas - RS",Centro,https://comidadibuteco.com.br/buteco/pinhos-botecaria-pub/,-29.920360778103305,-51.18125395860188
Rock’n Beer,"Avenida Doutor Sezefredo Azambuja Vieira, 266 | Canoas - RS",Canoas - RS,https://comidadibuteco.com.br/buteco/rockn-beer/,-29.920446405247148,-51.11752958474766
Snack Bar do Barba,"Rua Ângelo Crivellaro, 540 | Jardim do Salso, Porto Alegre - RS",Jardim do Salso,https://comidadibuteco.com.br/buteco/snack-bar-do-barba/,-30.049796809892065,-51.17010086588414
Sotaque Bar,"Avenida Protásio Alves, 699 | Rio Branco, Porto Alegre - RS",Rio Branco,https://comidadibuteco.com.br/buteco/sotaque-bar/,-30.03951730339138,-51.19897757211591
Spoiler,"Rua General Lima e Silva, 1058 | Centro, Porto Alegre - RS",Centro,https://comidadibuteco.com.br/buteco/spoiler/,-30.03540663265191,-51.225219625622856
Tuim Bar Chopp,"Rua General Câmara, 333 | Centro, Porto Alegre - RS",Centro,https://comidadibuteco.com.br/buteco/tuim-bar-chopp/,-30.0301781,-51.230114
