name,address,bairro,link,lat,lng
Bar A Toca,"Rua Domingos Padovan, 1540 | Ribeirão Preto - SP",Ribeirão Preto - SP,https://comidadibuteco.com.br/buteco/bar-a-toca/,-21.180104468969613,-47.773628639244855
Bar da Dona Celina,"Rua José Aissum, 125 |  Ribeirão Preto - SP",Ribeirão Preto - SP,https://comidadibuteco.com.br/buteco/3565-revision-v1/,-21.183822731944947,-47.77796675631057
Bar da Duque,"Rua Duque de Caxias, 1211 | Centro, Ribeirão Preto - SP",Centro,https://comidadibuteco.com.br/buteco/bar-da-duque/,-21.178167152755904,-47.80391175984252
Bar da Patroa,"Avenida Professor Pedreira de Freitas, 564 | Parque Ribeirão Preto, Ribeirão Preto - SP",Parque Ribeirão Preto,https://comidadibuteco.com.br/buteco/bar-da-patroa/,-21.203026352710182,-47.843141693901146
Bar do Gil,"Rua Franca, 432 | Ribeirão Preto - SP",Ribeirão Preto - SP,https://comidadibuteco.com.br/buteco/3123-revision-v1/,-20.898939566462293,-47.60113725302867
Bar do Jefferson,"Rua Edgard Patrick, 20 | Ribeirão Preto - SP",Ribeirão Preto - SP,https://comidadibuteco.com.br/buteco/bar-do-jefferson/,-21.225718,-47.7666666
Bar Dona Helena,"Rua Guido Borsaro, 625 |  Ribeirão Preto - SP",Ribeirão Preto - SP,https://comidadibuteco.com.br/buteco/bar-dona-helena/,-21.181985723526168,-47.780956718635736
Bar Empório Paulistano,"Rua Cesário Motta, 1469 | Ribeirão Preto - SP",Ribeirão Preto - SP,https://comidadibuteco.com.br/buteco/bar-emporio-paulistano/,-21.17270238757632,-47.790626582668935
BarBaridade Espeto & Bar,"Rua João Bim, 712 | Campos Elísios, Ribeirão Preto - SP",Campos Elísios,https://comidadibuteco.com.br/buteco/barbaridade-espeto-bar-2/,-21.168323099745162,-47.800409653308776
Beringelas Bar,"Rua Henrique Dumont, 651 | Jardim Paulista, Ribeirão Preto - SP",Jardim Paulista,https://comidadibuteco.com.br/buteco/beringelas-bar/,-21.177314381693005,-47.80060350823357
Boca Gastronomia e Cultura,"Rua Florêncio de Abreu, 926 | Centro, Ribeirão Preto - SP",Centro,https://comidadibuteco.com.br/buteco/boca-gastronomia-e-cultura/,-21.180300372340426,-47.80742353049646
Buteco da Lu,"Rua Altiva de Faria Chaves, 435 | Lagoinha, Ribeirão Preto - SP",Lagoinha,https://comidadibuteco.com.br/buteco/buteco-da-lu/,-21.1888696,-47.76024099999999
Buteco do Maranhão e cia,"Rua Antônio Achê, 769 | Jardim Irajá, Ribeirão Preto - SP",Jardim Irajá,https://comidadibuteco.com.br/buteco/buteco-do-maranhao-e-cia/,-21.207070949433465,-47.8016040102135
Caiçara,"Rua Mariana Junqueira, 473 | Centro, Ribeirão Preto - SP",Centro,https://comidadibuteco.com.br/buteco/caicara/,-21.1737752,-47.8079426
Choperia Dus Mineiros,"Avenida Doutor Plínio de Castro Prado, 1000 | Ribeirão Preto - SP",Ribeirão Preto - SP,https://comidadibuteco.com.br/buteco/choperia-dus-mineiros/,-21.18539760169764,-47.789045706986705
Dimais Espetos Bar,"Rua Antônio Fregonesi, 676 | Jardim Manoel Penna, Ribeirão Preto - SP",Jardim Manoel Penna,https://comidadibuteco.com.br/buteco/dimais-espetos-bar/,-21.21301289902528,-47.76751828122548
Empório Mobiglia,"Rua Saldanha Marinho, 1136 | Centro, Ribeirão Preto - SP",Centro,https://comidadibuteco.com.br/buteco/9634-revision-v1/,-21.17267895252721,-47.81041730730074
Esquina do Zé,"Rua Lafaiete, 1045 | Centro, Ribeirão Preto - SP",Centro,https://comidadibuteco.com.br/buteco/esquina-do-ze/,-21.181699065467626,-47.806903024820144
Fazendeiro Grill,"Rua Henrique Dumont, 1265 | Jardim Paulista, Ribeirão Preto - SP",Jardim Paulista,https://comidadibuteco.com.br/buteco/fazendeiro-grill/,-21.180126308683512,-47.79671093334995
Federal Bar,"R. Daniel Kujawski, 930 | Ribeirão Preto - SP",Ribeirão Preto - SP,https://comidadibuteco.com.br/buteco/federal-bar/,-21.185078022220964,-47.79831404954899
Guadalupe Café,"Rua Visconde do Rio Branco, 710 | Centro, Ribeirão Preto - SP",Centro,https://comidadibuteco.com.br/buteco/guadalupe-cafe/,-21.174233242352944,-47.806348158823525
Mares Peixe Bar,"Rua Luiz Barreto, 273 | Campos Elísios, Ribeirão Preto - SP",Campos Elísios,https://comidadibuteco.com.br/buteco/mares-peixe-bar/,-21.160628870673605,-47.80656602074261
Mixturinha Bar,"Rua Sérgio Achê, 71 | Ribeirão Preto - SP",Ribeirão Preto - SP,https://comidadibuteco.com.br/buteco/mixturinha-bar/,,
Primo (O rei da beringela),"Rua São José, 610 | Centro, Ribeirão Preto - SP",Centro,https://comidadibuteco.com.br/buteco/primo-o-rei-da-beringela/,-21.17989162515464,-47.80663476020619
Sem Fronteiras,"Rua Américo Brasiliense, 1193 | Centro, Ribeirão Preto - SP",Centro,https://comidadibuteco.com.br/buteco/sem-fronteiras/,-21.180940040363637,-47.80479543127273
Toca do Tambaqui,"Rua Vicente de Carvalho, 355 | Vila Seixas, Ribeirão Preto - SP",Vila Seixas,https://comidadibuteco.com.br/buteco/toca-do-tambaqui/,-21.18787024180523,-47.80455383794813
VAT Rock Bar e Restaurante,"Rua Marcos Markarian, 377 | Nova Aliança, Ribeirão Preto - SP",Nova Aliança,https://comidadibuteco.com.br/buteco/vat-rock-bar-e-restaurante/,-21.221423298674566,-47.82097723298515
