name,address,bairro,link,lat,lng
Angurmê Culinária Afro-brasileira,"Rua Visconde de Abaeté, 123 | Vila Isabel, Rio de Janeiro - RJ",Vila Isabel,https://comidadibuteco.com.br/buteco/angurme-culinaria-afro-brasileira-2/,-22.913650227293846,-43.24438230865178
Antônio’s Nordestino,"Rua Ati, 365 | Tanque, Rio de Janeiro - RJ",Tanque,https://comidadibuteco.com.br/buteco/antonios-nordestino/,-22.92116001058857,-43.35578616027288
Armazém São Thiago,"Rua Áurea, 26 | Santa Teresa, Rio de Janeiro - RJ",Santa Teresa,https://comidadibuteco.com.br/buteco/armazem-sao-thiago/,-22.922873592553877,-43.18844299620534
Art Chopp,"Rua Macembu, 63 Rio de Janeiro - RJ",,https://comidadibuteco.com.br/buteco/3500-revision-v1/,,
Baixo Gago,"Rua Gago Coutinho, 51 | Laranjeiras, Rio de Janeiro - RJ",Laranjeiras,https://comidadibuteco.com.br/buteco/3508-revision-v1/,-22.9314033,-43.1811229
Bar da Aurea,"Rua Ari Barroso, 20 |  Rio de Janeiro - RJ",Parque Sarapuí,https://comidadibuteco.com.br/buteco/bar-da-aurea/,-22.791706113834678,-43.287673743363825
Bar da Tati,"Praça Serzedelo Correia, 15 | Copacabana, Rio de Janeiro - RJ",Copacabana,https://comidadibuteco.com.br/buteco/bar-da-tati/,,
Bar do Augusto,"Avenida Mem de Sá, 72 | Centro, Rio de Janeiro - RJ",Centro,https://comidadibuteco.com.br/buteco/bar-do-augusto/,-22.91135325098796,-43.19145335050373
Bar do Canedo,"Rua Barão de Mesquita, 916 | Grajaú, Rio de Janeiro - RJ",Grajaú,https://comidadibuteco.com.br/buteco/bar-do-canedo/,-22.923834749288744,-43.25564487455911
Bar do David,"Rua Ari Barroso, 66 | Rio de Janeiro - RJ",Parque Sarapuí,https://comidadibuteco.com.br/buteco/3518-revision-v1/,-22.791706113834678,-43.287673743363825
Bar do Elson,"Alameda Dalton Barreto, 40 | Barra da Tijuca, Rio de Janeiro - RJ",Barra da Tijuca,https://comidadibuteco.com.br/buteco/bar-do-elson/,-23.004385899762998,-43.30925756756378
Bar do Gallo,"Rua Cidade do Rio, 185 | Taquara, Rio de Janeiro - RJ",Taquara,https://comidadibuteco.com.br/buteco/bar-do-gallo/,-22.924532676154392,-43.379955221173965
Bar do Gilson,"Rua Sousa Franco, 386 | Vila Isabel, Rio de Janeiro - RJ",Vila Isabel,https://comidadibuteco.com.br/buteco/bar-do-gilson/,-22.912379060327538,-43.24658043973147
Bar do Mariano,"Rua Professor Valadares, 78 | Grajaú, Rio de Janeiro - RJ",Grajaú,https://comidadibuteco.com.br/buteco/3530-autosave-v1/,-22.9201521,-43.2634287
Bar do Mineiro,"Rua Paschoal Carlos Magno, 99 | Santa Teresa, Rio de Janeiro - RJ",Santa Teresa,https://comidadibuteco.com.br/buteco/bar-do-mineiro/,-22.920903318532382,-43.18764657719306
Bar do Thomaz,"Rua Jerônimo Serqueira, 26 | Jacarepaguá, Rio de Janeiro - RJ",Jacarepaguá,https://comidadibuteco.com.br/buteco/bar-do-thomaz/,-22.9692304,-43.4152184
Bar do Tino,"Rua Almirante Alexandrino, 3780 | Santa Teresa, Rio de Janeiro - RJ",Santa Teresa,https://comidadibuteco.com.br/buteco/bar-do-tino/,-22.941592908452876,-43.21003058973822
Bar do Zé Ilha de Paquetá,"Rua Padre Juvenal, 5 | Paquetá, Rio de Janeiro - RJ",Paquetá,https://comidadibuteco.com.br/buteco/bar-do-ze-ilha-de-paqueta/,-22.75626815,-43.110470828564175
Bar du Barão,"Rua Castro Barbosa, 36  | Grajaú, Rio de Janeiro - RJ",Grajaú,https://comidadibuteco.com.br/buteco/bar-du-barao/,-22.924342943967076,-43.25616691634376
Bar Limão com Mel,"Rua Conde de Azambuja, 420 | Maria da Graça, Rio de Janeiro - RJ",Maria da Graça,https://comidadibuteco.com.br/buteco/bar-limao-com-mel/,-22.88335198887508,-43.26198872745987
Bar Palhinha,"Rua Humaitá, 12 | Humaitá, Rio de Janeiro - RJ",Humaitá,https://comidadibuteco.com.br/buteco/3526-revision-v1/,-22.952734399999997,-43.1964667
Bar Peixaria Divina Providência,"Avenida Monsenhor Félix, 565 | Irajá, Rio de Janeiro - RJ",Irajá,https://comidadibuteco.com.br/buteco/bar-peixaria-divina-providencia/,-22.836098256792614,-43.32587610302539
Bar Sambódromo,"Avenida Salvador de Sá, 77 | Cidade Nova, Rio de Janeiro - RJ",Cidade Nova,https://comidadibuteco.com.br/buteco/bar-sambodromo/,-22.912794110266596,-43.20144433064264
Beneh Gastrobar,"Rua Dona Maria, 9 | Vila Isabel, Rio de Janeiro - RJ",Vila Isabel,https://comidadibuteco.com.br/buteco/beneh-gastrobar/,-22.919349168140062,-43.23797383776106
Biricutico Bar e Botequim,"Rua Magalhães Couto, 356 | Méier, Rio de Janeiro - RJ",Méier,https://comidadibuteco.com.br/buteco/biricutico-bar-e-botequim/,-22.90314578807622,-43.28509079606214
Biroska do Camarão,"Rua Antônio Sales, 4 | Rio de Janeiro - RJ",Campo Limpo,https://comidadibuteco.com.br/buteco/biroska-do-camarao/,-21.83323851843448,-41.2600902588739
Bistrô Aconchego,"Rua das Rosas, 1500 | Vila Valqueire, Rio de Janeiro - RJ",Vila Valqueire,https://comidadibuteco.com.br/buteco/5854-revision-v1/,-22.88888166046814,-43.36551326934028
Bobô Bar,"Rua Manuela Barbosa, 45 | Méier, Rio de Janeiro - RJ",Méier,https://comidadibuteco.com.br/buteco/10403-revision-v1/,-22.9012102,-43.2823987
Boemia Social Clube,"Avenida Oliveira Belo, 1180 | Vila da Penha, Rio de Janeiro - RJ",Vila da Penha,https://comidadibuteco.com.br/buteco/boemia-social-clube/,-22.8412392,-43.3057818
Booze Bar,"Avenida Mem de Sá, 63 | Lapa, Rio de Janeiro - RJ",Lapa,https://comidadibuteco.com.br/buteco/booze-bar/,-22.9133637,-43.1812232
Boteco Boca Miúda,"Rua Doutor Bulhões, 833 | Engenho de Dentro, Rio de Janeiro - RJ",Engenho de Dentro,https://comidadibuteco.com.br/buteco/boteco-boca-miuda/,-22.90051165053956,-43.29765184873109
Boteco Carioquinha,"Avenida Gomes Freire, 822 | Lapa, Rio de Janeiro - RJ",Lapa,https://comidadibuteco.com.br/buteco/3532-revision-v1/,-22.91167512631906,-43.18350368367668
Boteco do Raoni,"Rua Barão de Mesquita, 965 | Grajaú, Rio de Janeiro - RJ",Grajaú,https://comidadibuteco.com.br/buteco/boteco-do-raoni/,-22.923834749288744,-43.25564487455911
Boteco Jardim,"Rua Cambaúba, 1153 | Jardim Guanabara, Rio de Janeiro - RJ",Jardim Guanabara,https://comidadibuteco.com.br/buteco/boteco-jardim/,-22.81303571592162,-43.20724652272345
Boteco Vou Demais,"Rua Paula Brito, 240 | Andaraí, Rio de Janeiro - RJ",Andaraí,https://comidadibuteco.com.br/buteco/boteco-vou-demais/,-22.928458298969897,-43.25462473697859
Boteko do Cadico,"Rua Barão de Itaipu, 30 | Andaraí, Rio de Janeiro - RJ",Andaraí,https://comidadibuteco.com.br/buteco/boteko-do-cadico/,-22.924491882289878,-43.24761558622614
Botequim Chega Mais,"Rua Barata Ribeiro, 247 | Copacabana, Rio de Janeiro - RJ",Copacabana,https://comidadibuteco.com.br/buteco/botequim-chega-mais/,-22.967159822651805,-43.183458790636195
Botequim Rio Antigo,"Rua Uranos, 1489 | Olaria, Rio de Janeiro - RJ",Olaria,https://comidadibuteco.com.br/buteco/4951-revision-v1/,-22.8500950615823,-43.2653487481756
Brazuca,"Rua Luís Sá, 205 | Rio de Janeiro - RJ",Portuguesa,https://comidadibuteco.com.br/buteco/brazuca/,-22.800855456349097,-43.20227110570608
Buteco Ovo Frito,"Rua Teodoro da Silva, 280 | Vila Isabel, Rio de Janeiro - RJ",Vila Isabel,https://comidadibuteco.com.br/buteco/buteco-ovo-frito/,-22.91706101448248,-43.24268496438603
Buteko em Nome do Pai e do Filho,"Rua Barão de Mesquita, 893 | Andaraí, Rio de Janeiro - RJ",Andaraí,https://comidadibuteco.com.br/buteco/buteko-em-nome-do-pai-e-do-filho/,-22.924561940848655,-43.243062163842026
Cabeça de Bagre,"Rua Sousa Franco, 254 | Vila Isabel, Rio de Janeiro - RJ",Vila Isabel,https://comidadibuteco.com.br/buteco/cabeca-de-bagre/,-22.912379060327538,-43.24658043973147
Cachambeer,"Rua Cachambi, 475 | Cachambi, Rio de Janeiro - RJ",Cachambi,https://comidadibuteco.com.br/buteco/3536-revision-v1/,-22.88660675,-43.27691677661366
Caju GastroBar,"Rua Barata Ribeiro, 2 | Copacabana, Rio de Janeiro - RJ",Copacabana,https://comidadibuteco.com.br/buteco/caju-gastrobar/,-22.972742003831996,-43.19065647674318
Capitania dos Copos,"Rua Praia de Tubiacanga, 24 | Tubiacanga, Rio de Janeiro - RJ",Tubiacanga,https://comidadibuteco.com.br/buteco/capitania-dos-copos/,-22.78433695928925,-43.22747851999077
Casarão da Julião,"Rua Engenheiro Julião Castelo, 165 | Méier, Rio de Janeiro - RJ",Méier,https://comidadibuteco.com.br/buteco/casarao-da-juliao/,-22.9006141,-43.273886950000005
Churraxcou,"Rua Antônio Storino, 161 | Vila da Penha, Rio de Janeiro - RJ",Vila da Penha,https://comidadibuteco.com.br/buteco/churraxcou/,-22.8440992,-43.3116863
Contemporâneo Lapa,"Avenida Gomes Freire, 625 | Centro, Rio de Janeiro - RJ",Centro,https://comidadibuteco.com.br/buteco/contemporaneo-lapa/,-22.9122471,-43.1831008
Crepe & Cevada,"Avenida do Magistério, S/N | Portuguesa, Rio de Janeiro - RJ",Portuguesa,https://comidadibuteco.com.br/buteco/crepe-cevada-2/,-22.795532005175556,-43.20348014604749
Deck Bar,"Alameda dos Ingás, 190 | Barra da Tijuca, Rio de Janeiro - RJ",Barra da Tijuca,https://comidadibuteco.com.br/buteco/deck-bar/,-23.0016593,-43.3086197
Dom Pedro,"Rua Francisco Manuel, 31 | Benfica, Rio de Janeiro - RJ",Benfica,https://comidadibuteco.com.br/buteco/dom-pedro/,-22.893843482280452,-43.24154208720234
Empório do Bacalhau,"Rua Professor Paula Aquiles, 4 |  Rio de Janeiro - RJ",,https://comidadibuteco.com.br/buteco/emporio-do-bacalhau/,,
Empório Quintana Boteco,"Rua Capitão Félix, 110 | Benfica, Rio de Janeiro - RJ",Benfica,https://comidadibuteco.com.br/buteco/10420-revision-v1/,-22.895042850000003,-43.23541922709124
Empório Santa Oliva,"Avenida Tenente-Coronel Muniz de Aragão, 26 | Jacarepaguá, Rio de Janeiro - RJ",Jacarepaguá,https://comidadibuteco.com.br/buteco/emporio-santa-oliva/,-22.9474431,-43.3400342
Esconderijo Bar,"Rua Itabaiana, 8 | Grajaú, Rio de Janeiro - RJ",Grajaú,https://comidadibuteco.com.br/buteco/esconderijo-bar/,-22.921358518945716,-43.264078402244245
Feliz Chopp e Grill,"Rua Felisbelo Freire, 296 | Ramos, Rio de Janeiro - RJ",Ramos,https://comidadibuteco.com.br/buteco/feliz-chopp-e-grill/,-22.849801164952325,-43.26112752054816
Folia do Boi,"Rua Cachambi, 253 | Cachambi, Rio de Janeiro - RJ",Cachambi,https://comidadibuteco.com.br/buteco/10424-revision-v1/,-22.8901217,-43.27388164964363
Formigueiro Brasa e Fogão,"Rua Araguaia, 603 | Freguesia (Jacarepaguá), Rio de Janeiro - RJ",Freguesia (Jacarepaguá),https://comidadibuteco.com.br/buteco/formigueiro-brasa-e-fogao/,-22.93525510623113,-43.33708349798283
Galeto na Brasa,"Rua Dona Cecília, 39 | Rio Comprido, Rio de Janeiro - RJ",Rio Comprido,https://comidadibuteco.com.br/buteco/galeto-na-brasa/,-22.92450878250453,-43.206064550360374
Gastrô Bar da Família,"Rua do Trabalho, 370 | Vila da Penha, Rio de Janeiro - RJ",Vila da Penha,https://comidadibuteco.com.br/buteco/gastro-bar-da-familia/,-22.83807101843331,-43.30653637467147
Guay,"Rua Almirante Cochrane, 67 | Tijuca, Rio de Janeiro - RJ",Tijuca,https://comidadibuteco.com.br/buteco/guay/,-22.921389531910215,-43.22877689949719
Hora Extra Bar Gourmet,"Rua Arcozelo, 60 | Vila Valqueire, Rio de Janeiro - RJ",Vila Valqueire,https://comidadibuteco.com.br/buteco/hora-extra-bar-gourmet/,-22.887358328992754,-43.37066544116884
