name,address,bairro,link,lat,lng
Abará da Vovó,"Rua Direita de Santo Antônio, 16 | Santo Antônio, Salvador - BA",Santo Antônio,https://comidadibuteco.com.br/buteco/10256-revision-v1/,-12.96489704257068,-38.50481523268669
Abará Temperado da Irá,"Rua Renato Berbert de Castro, 587 - Praia do Flamengo | Stella Maris, Salvador - BA",Stella Maris,https://comidadibuteco.com.br/buteco/abara-temperado-da-ira/,-12.915830565127166,-38.30900372421431
Aquiles Gourmet,"Rua Genipapeiro, 41 | Salvador - BA",Salvador - BA,https://comidadibuteco.com.br/buteco/aquiles-gourmet/,-12.74076951955094,-38.76568405957777
Bakkana’s Bar,"Rua Boa Vista de Brotas, 11 | Salvador - BA",Salvador - BA,https://comidadibuteco.com.br/buteco/bakkanas-bar-2/,-12.98274990207915,-38.49997890172174
Bar D’ Gente,"Rua Thomaz Gonzaga, 144 | Pernambués, Salvador - BA",Pernambués,https://comidadibuteco.com.br/buteco/bar-d-gente/,-12.96646370282458,-38.46280670331922
Bar do Bonito,"Rua Palame, 9 | Itapuã, Salvador - BA",Itapuã,https://comidadibuteco.com.br/buteco/bar-do-bonito/,-12.950246370183333,-38.368509606754664
Bar do Chico,"Rua Arthur de Azevedo Machado, 65 | Stiep, Salvador - BA",Stiep,https://comidadibuteco.com.br/buteco/bar-do-chico/,-12.985864005188697,-38.44849947314637
Bar do Papá,"Rua Edgard Loureiro, 7 | Resgate, Salvador - BA",Resgate,https://comidadibuteco.com.br/buteco/bar-do-papa/,-12.959354004149573,-38.464573318027945
Bar Koisa Nossa (Os Internacionais),"Travessa Engenheiro Allioni, 1 | Salvador - BA",Salvador - BA,https://comidadibuteco.com.br/buteco/3426-revision-v1/,,
Bar Xique Xique,"Rua Rockfeller, 39 | Barris, Salvador - BA",Barris,https://comidadibuteco.com.br/buteco/xique-xique/,-12.984636510123886,-38.51160791118363
Biritódromo Bar de Praia,"Rua Souza Uzel, 4 | Federação, Salvador - BA",Federação,https://comidadibuteco.com.br/buteco/biritodromo-bar-de-praia/,-12.996998350128225,-38.510515259613534
Bistrô9,"Avenida José Joaquim Seabra, 151 | Salvador - BA",Salvador - BA,https://comidadibuteco.com.br/buteco/bistro9/,-12.969129669103472,-38.50175437610165
Botecar Bar e Petiscaria,"Rua Andaraí, 723 | Resgate, Salvador - BA",Resgate,https://comidadibuteco.com.br/buteco/botecar-bar-e-petiscaria/,-12.961824215926361,-38.461629874020026
Boteco Aggada,"Ladeira do Carmo, 9 | Santo Antônio, Salvador - BA",Santo Antônio,https://comidadibuteco.com.br/buteco/boteco-aggada/,-12.969160102857984,-38.50755754342271
Boteco da Magaly,"Rua Agnaldo Azevedo, 292 | Stella Maris, Salvador - BA",Stella Maris,https://comidadibuteco.com.br/buteco/boteco-da-magaly/,-12.933236140278886,-38.340056571421485
Boteco da Mídia,"Rua Nadir Mendonça, 16 | Pituaçu, Salvador - BA",Pituaçu,https://comidadibuteco.com.br/buteco/5607-revision-v1/,-12.97305533930747,-38.418479090994445
