name,address,bairro,link,lat,lng
A Ribeira,"Alameda Ribeiro da Silva, 909 | São Paulo - SP",São Paulo - SP,https://comidadibuteco.com.br/buteco/a-ribeira/,-23.53390155,-46.65132647511862
Acarajé e Delícias da Bahia,"Rua Arcipreste Ezequias, 116 - Ipiranga - São Paulo - SP",Vila Monumento,https://comidadibuteco.com.br/buteco/acaraje-e-delicias-da-bahia/,-23.587196695833335,-46.61598240833334
Alemão Grill Espetinhos,"Avenida Waldemar Carlos Pereira, 1918 - Vila Talarico - São Paulo - SP",,https://comidadibuteco.com.br/buteco/alemao-grill-espetinhos/,,
Almirante Bar e Restaurante,"Rua Agostinho Gomes, 2253 | Ipiranga, São Paulo - SP",Ipiranga,https://comidadibuteco.com.br/buteco/almirante-bar-e-restaurante/,-23.58685516888762,-46.604160030185945
Altino Deck Bar,"Rua Doutor José Augusto de Oliveira, 1 | Presidente Altino, Osasco - SP",Presidente Altino,https://comidadibuteco.com.br/buteco/altino-deck-bar/,,
Aquino’s Restaurante,"Rua da Imprensa, 517 | Vila São José, São Paulo - SP",Vila São José,https://comidadibuteco.com.br/buteco/aquinos-restaurante/,-20.8197228,-49.3660382
Armazém Mandacaru,"Rua Dona Antonia de Queiroz, 5 | Consolação, São Paulo - SP",Consolação,https://comidadibuteco.com.br/buteco/armazem-mandacaru/,-23.5530904,-46.6521575
Balcão 304,"Rua Pitangueiras, 304 | Mirandópolis, São Paulo - SP",Mirandópolis,https://comidadibuteco.com.br/buteco/balcao-304/,-23.610042662885064,-46.63874625956473
Bambuteco,"Avenida Corifeu de Azevedo Marques, 1560 | Butantã, São Paulo - SP",Butantã,https://comidadibuteco.com.br/buteco/bambuteco/,-23.5748121,-46.7288435
Bar & Espetaria Pai Berto,"Rua Emília Marengo, 1374 | São Paulo - SP",São Paulo - SP,https://comidadibuteco.com.br/buteco/bar-espetaria-pai-berto/,-23.55349575260911,-46.56154121428529
Bar Altas Horas,"Rua do Oratório, 1632 | Mooca, São Paulo - SP",Mooca,https://comidadibuteco.com.br/buteco/bar-altas-horas/,-23.573321717920198,-46.58102509030037
Bar Amigos do Zé,"Praça Franklin Roosevelt, 92 | São Paulo - SP",São Paulo - SP,https://comidadibuteco.com.br/buteco/bar-amigos-do-ze/,-23.5491537,-46.6463834
Bar Bambu,"Rua Conselheiro Moreira de Barros, 1084 | Santana, São Paulo - SP",Santana,https://comidadibuteco.com.br/buteco/bar-bambu/,-23.492056645283263,-46.63397336590789
Bar de Vidro,"Avenida Álvaro Machado Pedrosa, 476 | Parada Inglesa, São Paulo - SP",Parada Inglesa,https://comidadibuteco.com.br/buteco/3233-revision-v1/,-23.48427265160328,-46.606102638383945
Bar do Alê,"Rua Eugênia de Carvalho, 871 | Vila Matilde, São Paulo - SP",Vila Matilde,https://comidadibuteco.com.br/buteco/bar-do-ale/,-23.54094322907547,-46.52594728357662
Bar do Berinjela,"Praça Vinte de Janeiro, 67 | Vila Regente Feijó, São Paulo - SP",Vila Regente Feijó,https://comidadibuteco.com.br/buteco/3235-revision-v1/,,
Bar do Cumpadi,"Rua Amoípira, 304 | Campo Grande - São Paulo - SP",Campo Grande - São Paulo - SP,https://comidadibuteco.com.br/buteco/bar-do-cumpadi/,-23.669102873619973,-46.691543561648665
Bar do Edu,"Rua Doutor Andrade Pertence, 209 | Vila Olímpia, São Paulo - SP",Vila Olímpia,https://comidadibuteco.com.br/buteco/bar-do-edu/,-23.60424555,-46.676144050000005
Bar do Jão,"Rua Antônio Lobo, 33 | Penha de França, São Paulo - SP",Penha de França,https://comidadibuteco.com.br/buteco/3259-autosave-v1/,-23.5241635,-46.546334650000006
Bar do Lopes,"Rua Francisco Dias, 635 | Bosque da Saúde, São Paulo - SP",Bosque da Saúde,https://comidadibuteco.com.br/buteco/bar-do-lopes/,-23.61345444581732,-46.61552557821697
Bar do Miltinho,"Rua Luís Góis, 14 | Mirandópolis, São Paulo - SP",Mirandópolis,https://comidadibuteco.com.br/buteco/bar-do-miltinho/,-23.6039859,-46.6275918
Bar do Nino,"R. Amoípira, 298 - Campo Grande - São Paulo - SP",Vila Arriete,https://comidadibuteco.com.br/buteco/bar-do-nino/,-23.669102873619973,-46.691543561648665
Bar do Preguinho,"Avenida Guilherme Giorgi, 775 | Vila Carrão, São Paulo - SP",Vila Carrão,https://comidadibuteco.com.br/buteco/bar-do-preguinho/,-23.553160639298635,-46.54463916896425
Bar do Rafa Abbatepietro Steak & Beer,"Rua Carlos Weber, 426 | Vila Leopoldina, São Paulo - SP",Vila Leopoldina,https://comidadibuteco.com.br/buteco/bar-do-rafa-abbatepietro-steak-beer/,-23.525242044296576,-46.732996691269776
Bar do Renato,"Rua Miguel Teles Júnior, 595 | Cambuci, São Paulo - SP",Cambuci,https://comidadibuteco.com.br/buteco/bar-do-renato/,,
Bar do Vardema,"Rua Guaimbé, 412 | Mooca, São Paulo - SP",Mooca,https://comidadibuteco.com.br/buteco/3246-revision-v1/,-23.56333239955994,-46.593878872645725
Bar do Vital,"Rua Fernando de Albuquerque, 26 | Consolação, São Paulo - SP",Consolação,https://comidadibuteco.com.br/buteco/bar-do-vital/,-23.5546819,-46.6568583
Bar do Zé Alegre,"Rua José Mascarenhas, 912 | Vila Matilde, São Paulo - SP",Vila Matilde,https://comidadibuteco.com.br/buteco/bar-do-ze-alegre/,-23.538040083168315,-46.527284536633665
Bar do Zé Guatás,"Avenida Afonso Mariano Fagundes, 665 | Saúde, São Paulo - SP",Saúde,https://comidadibuteco.com.br/buteco/24136-revision-v1/,-23.618179477073472,-46.6471103058218
Bar e Mercearia Carauari,"Praça Carauari, 8 - São Paulo - SP",Jardim Japão,https://comidadibuteco.com.br/buteco/bar-e-mercearia-carauari/,-23.50816666153071,-46.58529143802345
Bar e Mercearia Mundial,"Rua Embiruçú, 211 | São Paulo - SP",São Paulo - SP,https://comidadibuteco.com.br/buteco/bar-e-mercearia-mundial/,-23.558645913707487,-46.22527146942588
