name,address,bairro,link,lat,lng
Armazém Simão Gastropub,"Rua Joaquim Modesto, 357 | Centro, Araguari - MG",Centro,https://comidadibuteco.com.br/buteco/armazem-simao-gastropub/,-18.651554141503645,-48.195951713934114
Bar do Betão,"Avenida João Pinheiro, 263 | Centro, Uberlândia - MG",Centro,https://comidadibuteco.com.br/buteco/3195-revision-v1/,-18.917384363520732,-48.278855113149724
Bar do Carlinho,"Rua Costa Pereira, 159 | Bom Jesus, Uberlândia - MG",Bom Jesus,https://comidadibuteco.com.br/buteco/3197-revision-v1/,-18.905258813895824,-48.275338988796975
Bar do Chapéu,"Rua Doutor Ciro Palmerston, 600 | Santo Antônio, Araguari - MG",Santo Antônio,https://comidadibuteco.com.br/buteco/bar-do-chapeu/,,
Bar do Zé Gordo,"Rua Engenheiro Diniz, 1924 | Martins, Uberlândia - MG",Martins,https://comidadibuteco.com.br/buteco/bar-do-ze-gordo/,-18.911027820062646,-48.28494542335797
Bar Dona Antônia,"Avenida Segismundo Pereira, 2343 | Santa Mônica, Uberlândia - MG",Santa Mônica,https://comidadibuteco.com.br/buteco/bar-dona-antonia/,,
Bar dos Morenos,"Rua Salvador, 555 | Nossa Senhora Aparecida, Uberlândia - MG",Nossa Senhora Aparecida,https://comidadibuteco.com.br/buteco/bar-do-morenos/,-18.90292420604337,-48.26589671001372
Bar Sorvetão,"R. Uruguaiana, 208 - Rosário",Nossa Senhora do Rosário,https://comidadibuteco.com.br/buteco/bar-sorvetao/,-29.681505252362722,-53.82105815755479
Baroa Bar,"Rua Alameda Uberaba, 200 | Santa Mônica, Uberlândia - MG",Santa Mônica,https://comidadibuteco.com.br/buteco/baroa-bar/,,
Boteco Angara,"Avenida Segismundo Pereira, 1750 | Uberlândia - MG",Uberlândia - MG,https://comidadibuteco.com.br/buteco/boteco-angara/,-18.91850185,-48.2488075
Buteco da Kaka,"Avenida Ortízio Borges, 843 | Uberlândia - MG",Uberlândia - MG,https://comidadibuteco.com.br/buteco/buteco-da-kaka/,-18.91702396921673,-48.23968004326476
Don Steak,"Avenida Doutor Vicente Salles Guimarães, 525 | Alto Umuarama, Uberlândia - MG",Alto Umuarama,https://comidadibuteco.com.br/buteco/don-steak/,-18.886762837574036,-48.23641345724583
Duque Bar,"Rua Duque de Caxias, 1836  | Vila Saraiva, Uberlândia - MG",Vila Saraiva,https://comidadibuteco.com.br/buteco/duque-bar/,,
Major Espetaria,"Avenida Anselmo Alves dos Santos, 940 | Santa Mônica, Uberlândia - MG",Santa Mônica,https://comidadibuteco.com.br/buteco/major-espetaria/,-18.9118791,-48.2426888
Petiscaria Cantinho Nobre,"Av. dos Eucaliptos, 849  | Jd. Patrícia, Uberlândia - MG",Jd. Patrícia,https://comidadibuteco.com.br/buteco/petiscaria-cantinho-nobre/,,
Point do Mercado,"Rua Olegário Maciel, 255  | Centro, Uberlândia - MG",Centro,https://comidadibuteco.com.br/buteco/point-do-mercado/,-18.921501127304563,-48.27761793786379
Quintal do Rapha,"Avenida Minas Gerais, 1584 | Centro, Araguari - MG",Centro,https://comidadibuteco.com.br/buteco/quintal-do-rapha/,-18.654573026808606,-48.188587967192504
Quintal Gastronomia & Cultura,"R. Jangadeiro, 101 - Tubalina, Uberlândia - MG, 38412-016",,https://comidadibuteco.com.br/buteco/quintal-gastronomia-cultura-2/,,
Sal e Brasa Bar e Petiscaria,"Av. Minas Gerais, 980 - Ouro Verde, Araguari - MG",Ouro Verde,https://comidadibuteco.com.br/buteco/sal-e-brasa/,-18.62965677484902,-48.18177376560867
Trailer do Peixe Gastrobar,"Av. Cel. Teodolino Pereira Araújo, 580 - Centro, Araguari - MG, 38440-023",,https://comidadibuteco.com.br/buteco/trailer-do-peixe-gastrobar/,,
