name,address,bairro,link,lat,lng
Alek Bar,"Rua Henrique Dias, 32 | Velha, Blumenau - SC",Velha,https://comidadibuteco.com.br/buteco/alek-bar/,-26.91469565,-49.09101914849991
Boteco do Jonathan Ferrari,"Rua São Bernardo, 75 | Itoupava Norte, Blumenau - SC",Itoupava Norte,https://comidadibuteco.com.br/buteco/boteco-do-jonathan-ferrari/,-26.893640650000002,-49.067489817566006
Casa Portella,"Rua Frederico Jensen, 1360 | Itoupavazinha, Blumenau - SC",Itoupavazinha,https://comidadibuteco.com.br/buteco/casa-portella/,-26.859664508533818,-49.10341294526671
Cebola Brava,"Rua Londrina, 100 | Velha, Blumenau - SC",Velha,https://comidadibuteco.com.br/buteco/cebola-brava/,-26.91709139618488,-49.09584864529724
Dark Sport Bar,"Rua Fritz Spernau, 511 | Fortaleza, Blumenau - SC",Fortaleza,https://comidadibuteco.com.br/buteco/dark-sport-bar/,-26.88581913026802,-49.06285923072188
Empório do Pastel,"Rua Progresso, 2178 | Progresso, Blumenau - SC",Progresso,https://comidadibuteco.com.br/buteco/emporio-do-pastel/,-26.99147737757,-49.072595254404014
Espetinho Cê Tá Doido,"Rua José Reuter, 914 | Velha, Blumenau - SC",Velha,https://comidadibuteco.com.br/buteco/espetinho-ce-ta-doido/,-26.944291689421203,-49.1596171779321
Jacó’s Bar,"Rua Lucie Herkenhoff, 48 | Blumenau - SC",Blumenau - SC,https://comidadibuteco.com.br/buteco/jacos-bar/,,
Kiosque Divisa,"Rua Nicolau Link, 210 | Badenfurt, Blumenau - SC",Badenfurt,https://comidadibuteco.com.br/buteco/kiosque-divisa/,-26.87523089758449,-49.180256348472774
Lanches Ponto Certo,"Rua Júlio Michel, 136 | Fortaleza, Blumenau - SC",Fortaleza,https://comidadibuteco.com.br/buteco/lanches-ponto-certo/,-26.87971755,-49.066239462858086
Mega Lanches na Brasa,"Rua Heinz Scheidemantel, 268 | Testo Salto, Blumenau - SC",Testo Salto,https://comidadibuteco.com.br/buteco/mega-lanches-na-brasa/,-26.857990120031523,-49.15640279713238
Pastelle Pastelaria,"Rua Progresso, 1919 | Progresso, Blumenau - SC",Progresso,https://comidadibuteco.com.br/buteco/pastelle-pastelaria/,-26.99147737757,-49.072595254404014
Polpetta Rock Gastrobar,"Rua Capitão Euclides de Castro, 74 | Centro, Blumenau - SC",Centro,https://comidadibuteco.com.br/buteco/polpetta-rock-gastrobar/,-26.9205623,-49.065640162366975
Segredos do Malte Pub,"Rua Gustavo Zimmermann, 510 | Itoupava Central, Blumenau - SC",Itoupava Central,https://comidadibuteco.com.br/buteco/segredos-do-malte-pub/,-26.84085809851819,-49.08938330284751
Snoop Lanches,"Rua Frei Estanislau Schaette, 953 - Água Verde - Blumenau - SC",Água Verde,https://comidadibuteco.com.br/buteco/snoop-lanches/,-26.909705710349655,-49.10709054754899
Sr. Pastel,"Rua Floriano Peixoto, 100 | Centro, Blumenau - SC",Centro,https://comidadibuteco.com.br/buteco/sr-pastel/,-26.9223135,-49.0637224
Varanda Amazônica,"Rua Almirante Barroso, 859 | Itoupava Seca, Blumenau - SC",Itoupava Seca,https://comidadibuteco.com.br/buteco/varanda-amazonica/,-26.89630400108999,-49.08688876213672
