name,address,bairro,link,lat,lng
Adega da Cachaça,"Quadra C 01, 4  | Taguatinga Centro, Taguatinga - DF",Taguatinga Centro,https://comidadibuteco.com.br/buteco/adega-da-cachaca/,,
Aflora Gastrobar,"Quadra CLN 107  | Asa Norte, Brasília - DF",Asa Norte,https://comidadibuteco.com.br/buteco/aflora-gastrobar/,,
Avenida do Espetinho,"Segunda Avenida  | Núcleo Bandeirante, Núcleo Bandeirante - DF",Núcleo Bandeirante,https://comidadibuteco.com.br/buteco/avenida-do-espetinho/,-15.873041764411706,-47.97585892277951
Bahea Cozinha Baiana,"Quadra QSB 08  | Taguatinga Sul, Taguatinga - DF",Taguatinga Sul,https://comidadibuteco.com.br/buteco/bahea-cozinha-baiana/,,
Bar e Restaurante Nordestino,"Mercado Terceira Avenida - Área Especial | Núcleo Bandeirante, Núcleo Bandeirante - DF",Núcleo Bandeirante,https://comidadibuteco.com.br/buteco/bar-e-restaurante-nordestino/,,
Bem Amigos Bar,"Quadra QS 14, Conjunto 08a, S/N | Riacho Fundo, Riacho Fundo - DF",Riacho Fundo,https://comidadibuteco.com.br/buteco/bem-amigos-bar/,,
Bet Blinders Cozinha e Bar,"Quadra 8, Conjunto A  | Sobradinho - DF",Sobradinho - DF,https://comidadibuteco.com.br/buteco/bet-blinders-cozinha-e-bar/,,
Boteco do Cantinho,"Avenida das Castanheiras, 1060 - Águas Claras - Taguatinga - DF",,https://comidadibuteco.com.br/buteco/boteco-do-cantinho/,,
Boteco Véio Chico,"Avenida das Castanheiras, 920 | Águas Claras - Taguatinga - DF",Águas Claras - Taguatinga - DF,https://comidadibuteco.com.br/buteco/boteco-veio-chico/,,
Ceará Carne de Sol,"Quadra QE 04 Área Especial C, S/N  I, Guará - DF",,https://comidadibuteco.com.br/buteco/ceara-carne-de-sol/,,
Churrasquinho do Dimi,"Quadra 2, Conjunto A-06 | Sobradinho, Sobradinho - DF",Sobradinho,https://comidadibuteco.com.br/buteco/churrasquinho-do-dimi/,,
Confraria do Padim,"Quadra EQNM 38/40, S/N | Taguatinga Norte, Taguatinga - DF",Taguatinga Norte,https://comidadibuteco.com.br/buteco/confraria-do-padim/,,
Constelação 5 Cozinha e Bar,"Rua 7, 330 | Vicente Pires, Brasília - DF",Vicente Pires,https://comidadibuteco.com.br/buteco/constelacao-5-cozinha-e-bar/,-15.815529446443175,-48.021645574746
Cuscuz Restaurante,"Rua STSHTQ EPIA Norte Df 003 | Setor Habitacional Taquari (Lago Norte), Brasília - DF",Setor Habitacional Taquari (Lago Norte),https://comidadibuteco.com.br/buteco/cuscuz-restaurante/,,
Destilaria Beer,"Quadra CSB 07| Taguatinga Sul, Taguatinga - DF",Taguatinga Sul,https://comidadibuteco.com.br/buteco/destilaria-beer/,,
Dom Carica’s BBQ,"Quadra CLN 216| Asa Norte, Brasília - DF",Asa Norte,https://comidadibuteco.com.br/buteco/dom-caricas-bbq/,,
Embaixada do Piauí,"Quadra CLS 313 | Asa Sul, Brasília - DF",Asa Sul,https://comidadibuteco.com.br/buteco/embaixada-do-piaui/,,
Encontro à Mineira Bar e Mercearia,"Quadra SCRN 714/715 | Asa Norte, Brasília - DF",Asa Norte,https://comidadibuteco.com.br/buteco/encontro-a-mineira-bar-e-mercearia/,,
Esquema do Peixe,"SMPW Trecho 3, 36 | Núcleo Bandeirante - DF",Núcleo Bandeirante - DF,https://comidadibuteco.com.br/buteco/esquema-do-peixe/,,
Federal Bar e Cozinha,"Rua 35, S/N - Rua 35 Norte, Av. Boulevard Quiosque | Norte (Águas Claras), Taguatinga - DF",Norte (Águas Claras),https://comidadibuteco.com.br/buteco/federal-bar-e-cozinha/,,
GamBAR,"Quadra SCRN 708/709  | Asa Norte, Brasília - DF",Asa Norte,https://comidadibuteco.com.br/buteco/gambar/,,
Inverso Bar,"Quadra CLN 211 | Asa Norte, Brasília - DF",Asa Norte,https://comidadibuteco.com.br/buteco/inverso-bar/,,
Josefina – Cozinha que abraça,"CCSW 2, Lote 4 | Setor Sudoeste, Brasília - DF",Setor Sudoeste,https://comidadibuteco.com.br/buteco/josefina-cozinha-que-abraca-4/,-15.7978594,-47.928445249999996
Mesquimar Cozinha e Bar,"Quadra Quadra Norte 320 | Samambaia Sul, Samambaia - DF",Samambaia Sul,https://comidadibuteco.com.br/buteco/mesquimar-cozinha-e-bar/,-15.8781385272924,-48.085714585577605
