name,address,bairro,link,lat,lng
1960 Bar,"Rua 237, 307 | Setor Coimbra, Goiânia - GO",Setor Coimbra,https://comidadibuteco.com.br/buteco/1960-bar/,-16.680758220182394,-49.28288678614587
Bar do Chicão,"Rua Formosa, 632 | Goiânia - GO",Goiânia - GO,https://comidadibuteco.com.br/buteco/4176-revision-v1/,-16.67389284866072,-49.31502249263672
Bar Dodô,"Rua Horizonte, 160 | Goiânia - GO",Goiânia - GO,https://comidadibuteco.com.br/buteco/bar-dodo/,-16.6632238,-49.307872
Bar Frango Gaúcho,"Avenida C 104, 1644 | Jardim América, Goiânia - GO",Jardim América,https://comidadibuteco.com.br/buteco/bar-frango-gaucho/,-16.711381321533835,-49.28871114389684
Bar Marronzinho,"Rua Pinheiro Chagas, 244 | Cidade Jardim, Goiânia - GO",Cidade Jardim,https://comidadibuteco.com.br/buteco/bar-marronzinho/,-16.69224745,-49.30749645
Bar Ponto 18,"Rua 21, 133 | Setor Central, Goiânia - GO",Setor Central,https://comidadibuteco.com.br/buteco/bar-ponto-18/,-16.675911714330162,-49.25241358551572
Barbosa Estufa & Grelha,"Rua 36, 354 | GOIÂNIA - GO",GOIÂNIA - GO,https://comidadibuteco.com.br/buteco/barbosa-estufa-grelha/,-16.78553295,-49.3602305
Bendito Bar e Restaurante,"Avenida Barão do Rio Branco | Jardim Luz, Aparecida de Goiânia - GO",Jardim Luz,https://comidadibuteco.com.br/buteco/bendito-bar-e-restaurante/,-16.748608266235735,-49.27815462611499
Bento’s Bar,"Avenida Central | Jardim Nova Esperança, Goiânia - GO",Jardim Nova Esperança,https://comidadibuteco.com.br/buteco/bentos-bar-2/,-16.649006778795673,-49.32127325639927
Bistrô Chica Doida,Avenida Virgílio Joaquim Ferreira | Aparecida de Goiânia - GO,Aparecida de Goiânia - GO,https://comidadibuteco.com.br/buteco/5495-revision-v1/,-16.74008895,-49.222020650000005
Boteco do Berval,"Avenida T 5, S/N | Setor Nova Suíça, Goiânia - GO",Setor Nova Suíça,https://comidadibuteco.com.br/buteco/boteco-do-berval/,-16.717354298031825,-49.26900880389556
Boteco do Filhote,"Avenida Bela Vista, S/N | Parque Trindade, Aparecida de Goiânia - GO",Parque Trindade,https://comidadibuteco.com.br/buteco/boteco-do-filhote/,-16.7428072869167,-49.21585898259125
Boteco do Mala,"Avenida Niemeyer, S/N | Aparecida de Goiânia - GO",Aparecida de Goiânia - GO,https://comidadibuteco.com.br/buteco/boteco-do-mala/,-16.779527434877842,-49.32490746276901
Buteco do Allan,"Av. Pinheiro Chagas, 260 | Goiânia - GO",Goiânia - GO,https://comidadibuteco.com.br/buteco/buteco-do-allan/,-16.69127185,-49.30300675
Buteco do Zé Abílio,"Avenida T 4, S/N - Serrinha, Goiânia - GO",Serrinha,https://comidadibuteco.com.br/buteco/6046-revision-v1/,-16.724655859168415,-49.26709525390119
Buteko do Peixe,"Avenida Araxá, 821 | Jardim Ana Lúcia, Goiânia - GO",Jardim Ana Lúcia,https://comidadibuteco.com.br/buteco/buteko-do-peixe/,-16.69682655,-49.31166005
Calçadinha Espetos,"Rua C 181, 38 | Nova Suíça, Goiânia - GO",Nova Suíça,https://comidadibuteco.com.br/buteco/calcadinha-espetos/,-16.721750488439564,-49.27367820420811
Caldos Imola,"Rua São Jorge, 29 | Jardim Nova Era, Aparecida de Goiânia - GO",Jardim Nova Era,https://comidadibuteco.com.br/buteco/caldos-imola/,-16.74628201422197,-49.27908675261636
Casarão do Pastel,"Rua C-0190, S/N | Goiânia - GO",Goiânia - GO,https://comidadibuteco.com.br/buteco/casarao-do-pastel/,,
Casebre Bar e Restaurante,"Rua 258, 19| Vila Viana, Goiânia - GO",Vila Viana,https://comidadibuteco.com.br/buteco/casebre-bar-e-restaurante/,-16.6600362,-49.2412828
Churrasquinho do Dedé,"Rua Dona Maria Joana, 171 | Setor Sul, Goiânia - GO",Setor Sul,https://comidadibuteco.com.br/buteco/3752-revision-v1/,-16.681153247922307,-49.25059636480509
Dom Cirus,"Rua 229, 128 | Setor Coimbra, Goiânia - GO",Setor Coimbra,https://comidadibuteco.com.br/buteco/5507-revision-v1/,-16.678945669887227,-49.281472645186305
Dom Marco,"Rua T 45, 88 | Setor Bueno, Goiânia - GO",Setor Bueno,https://comidadibuteco.com.br/buteco/dom-marco/,-16.687406748604896,-49.27875007810164
Empório Aeroporto,"Avenida São Francisco | Santa Genoveva, Goiânia - GO",Santa Genoveva,https://comidadibuteco.com.br/buteco/emporio-aeroporto/,-16.62907838496425,-49.23391446674439
Espetim Miguelito,"Avenida C 11, 460 | Goiânia - GO",Goiânia - GO,https://comidadibuteco.com.br/buteco/espetim-miguelito/,-16.69310704630971,-49.300842340438045
Esquina 62 Bar,"Rua Curitiba, 480 | Parque Amazônia, Goiânia - GO",Parque Amazônia,https://comidadibuteco.com.br/buteco/esquina-62-bar/,-16.73456224679623,-49.28234156158761
Frango Rei,Av. Rio Verde | Aparecida de Goiânia - GO,Aparecida de Goiânia - GO,https://comidadibuteco.com.br/buteco/frango-rei/,-16.736422249999997,-49.26636175
Jajá Drinks,"Rua 74, 329 | Setor Central, Goiânia - GO",Setor Central,https://comidadibuteco.com.br/buteco/3778-revision-v1/,-16.67001963980597,-49.26178726965269
Jantinha do Bin Laden,"Avenida C-0233, 427 | Goiânia - GO",Goiânia - GO,https://comidadibuteco.com.br/buteco/jantinha-do-bin-laden/,-16.664503051640402,-49.2237438705157
Jantinha do Fabinho,Rua das Orquídeas | Goiânia - GO,Goiânia - GO,https://comidadibuteco.com.br/buteco/jantinha-do-fabinho/,-16.700369565241584,-49.325229505155384
Jantinha do Lipão,"Rua Fernando de Noronha, 1 | Setor Urias Magalhães, Goiânia - GO",Setor Urias Magalhães,https://comidadibuteco.com.br/buteco/jantinha-do-lipao/,-16.634865446268122,-49.269960627682835
Jantinha do Tico,"Avenida Padre Orlando de Morais, 272 | Parque Amazônia, Goiânia - GO",Parque Amazônia,https://comidadibuteco.com.br/buteco/jantinha-do-tico/,-16.73026522353783,-49.28960819952746
KL Grill Jantinha,"Rua dos Palmitos, S/N | Conjunto Cruzeiro do Sul, Aparecida de Goiânia - GO",Conjunto Cruzeiro do Sul,https://comidadibuteco.com.br/buteco/kl-grill-jantinha/,-16.757307516564794,-49.27297879744978
Lado Leste Cervejaria,"Rua 240, 81  | Goiânia - GO",Goiânia - GO,https://comidadibuteco.com.br/buteco/lado-leste-cervejaria/,-16.68086678620738,-49.287147468837524
Lima’s Bar,"Rua Minas Gerais, S/N | Setor Urias Magalhães, Goiânia - GO",Setor Urias Magalhães,https://comidadibuteco.com.br/buteco/limas-bar-3/,-16.63453178583363,-49.269996700781874
Macaia Bistrô e Biritas,"Rua 9, 1595 | Setor Marista, Goiânia - GO",Setor Marista,https://comidadibuteco.com.br/buteco/macaia-bistro-e-biritas/,-16.69352326035184,-49.26599670091896
Magia do Peixe,"Rua C-0193, S/N | Goiânia - GO",Goiânia - GO,https://comidadibuteco.com.br/buteco/magia-do-peixe/,,
Mandala Cervejaria,"Avenida Esperança, 16 | Vila Itatiaia, Goiânia - GO",Vila Itatiaia,https://comidadibuteco.com.br/buteco/mandala-cervejaria/,-16.597753606718143,-49.26177585872019
Marupiara Gastrobar,"Avenida Boulevard Conde dos Arcos, 287 | Setor Goiânia 2, Goiânia - GO",Setor Goiânia 2,https://comidadibuteco.com.br/buteco/marupiara-gastrobar/,-16.628744968627068,-49.248302316015504
Mauá Gastrobar,"Avenida Dom Emanuel, 143 | Cidade Jardim, Goiânia - GO",Cidade Jardim,https://comidadibuteco.com.br/buteco/maua-gastrobar/,-16.677300805218515,-49.31058853223578
Perimetral Bar,"Avenida Perimetral, 4340 | Setor Coimbra, Goiânia - GO",Setor Coimbra,https://comidadibuteco.com.br/buteco/perimetral-bar/,-16.684307405022036,-49.28708997795755
Real Espetos,"Av. França, Qd. 15 | Goiânia - GO",Goiânia - GO,https://comidadibuteco.com.br/buteco/real-espetos/,-16.733117395226557,-49.18135542445719
Royal Bar e Petiscaria,"Avenida Santo Onofre, S/N | Goiânia - GO",Goiânia - GO,https://comidadibuteco.com.br/buteco/royal-bar-e-petiscaria/,-17.463289825421246,-48.2050289647771
Tata Gastrobar,"Alameda Vista Alegre, S/N | Goiânia - GO",Goiânia - GO,https://comidadibuteco.com.br/buteco/tata-gastrobar/,-16.66910773140544,-49.32598395291359
Tô Bar,"Rua 20, 1078 | Setor Central, Goiânia - GO",Setor Central,https://comidadibuteco.com.br/buteco/to-bar/,-16.671899877002232,-49.25520323148522
Toka do Véi,"Rua Ecocatu, S/N | Jardim Helvécia, Aparecida de Goiânia - GO",Jardim Helvécia,https://comidadibuteco.com.br/buteco/toka-do-vei/,-16.751635408285367,-49.32503516456236
Viracopos,"Rua 25 B, 60 | Setor Oeste, Goiânia - GO",Setor Oeste,https://comidadibuteco.com.br/buteco/viracopos/,-16.6877986,-49.2634127
