name,address,bairro,link,lat,lng
Bar e Quadra de Esportes Adolfo,"Rua Alagoas, 303 | Anita Garibaldi, Joinville - SC",Anita Garibaldi,https://comidadibuteco.com.br/buteco/bar-e-quadra-de-esportes-adolfo/,-26.316979,-48.8533534
Budega Dona Francisca,"Rua Dona Francisca, 2057 | Saguaçu, Joinville - SC",Saguaçu,https://comidadibuteco.com.br/buteco/budega-dona-francisca/,-26.2852288,-48.8403135
Casa 97,"Rua Arco-Íris, 97 | Iririú, Joinville - SC",Iririú,https://comidadibuteco.com.br/buteco/casa-97/,-26.2750594,-48.8278436
Casa Amarela,"Rua Dona Francisca, 773 | Saguaçu, Joinville - SC",Saguaçu,https://comidadibuteco.com.br/buteco/casa-amarela-2/,-26.2951063,-48.8419772
Chawarma Foods,"Rua Porto Belo, 423 | Bucarein, Joinville - SC",Bucarein,https://comidadibuteco.com.br/buteco/chawarma-foods/,-26.3145089,-48.8356358
Don Toro,"Rua Max Colin, 1195 | América, Joinville - SC",América,https://comidadibuteco.com.br/buteco/don-toro/,-26.2946049,-48.8543886
Dovah Lanches e Shawarmas,"Rua Graciosa, 935 | Guanabara, Joinville - SC",Guanabara,https://comidadibuteco.com.br/buteco/dovah-lanches-e-shawarmas/,-26.3196602,-48.8314284
Empadas Jerke,"Rua Doutor João Colin, 393 | Centro, Joinville - SC",Centro,https://comidadibuteco.com.br/buteco/empadas-jerke/,-26.29780865,-48.848017929202925
Espaço Sabor,"Rua Ricardo Stamm Gomes, 27 | Bucarein, Joinville - SC",Bucarein,https://comidadibuteco.com.br/buteco/espaco-sabor-2/,-26.30597354367916,-48.839838103400545
Espetinho Chiquetoso,"Rua Tenente Antônio João, 2160 | Bom Retiro, Joinville - SC",Bom Retiro,https://comidadibuteco.com.br/buteco/espetinho-chiquetoso/,-26.25769155,-48.84698637563985
HOLY MEAT,"Rua Tijucas, 386 | Centro, Joinville - SC",Centro,https://comidadibuteco.com.br/buteco/holy-meat/,-26.296533,-48.8437787
Joe Tekila,"Rua Santa Catarina, 2349 | Floresta, Joinville - SC",Floresta,https://comidadibuteco.com.br/buteco/joe-tekila/,-26.344637498271037,-48.847180319174974
Mr. Lúpulo,"Rua Presidente Prudente de Moraes, 1097 | Santo Antônio, Joinville - SC",Santo Antônio,https://comidadibuteco.com.br/buteco/mr-lupulo/,-26.2753102,-48.8610988
Petisqueira Caxias,"Rua Max Colin, 2535 | América, Joinville - SC",América,https://comidadibuteco.com.br/buteco/petisqueira-caxias/,-26.294547047130838,-48.85212989303743
Rei dos Lanches,"Rua Santa Catarina, 129 | Floresta, Joinville - SC",Floresta,https://comidadibuteco.com.br/buteco/rei-dos-lanches/,-26.3236126,-48.8443983
Tempero de Casa,"Rua Doutor João Colin, 222 | Centro, Joinville - SC",Centro,https://comidadibuteco.com.br/buteco/tempero-de-casa/,-26.2993737,-48.8475375
Zuffa Choperia,"Rua Blumenau, 1740 | América, Joinville - SC",América,https://comidadibuteco.com.br/buteco/zuffa-choperia/,-26.29417055054953,-48.85020449254318
