name,address,bairro,link,lat,lng
Adega Bar,"Av. Dr. Francisco Álvares de Assis, 490 | Retiro, Juiz de Fora - MG",Retiro,https://comidadibuteco.com.br/buteco/adega-bar/,-21.781982479702304,-43.298946560115944
Antero Bar e Restaurante,"Rua Antônio de Paula Mendes, 435 | Bandeirantes, Juiz de Fora - MG",Bandeirantes,https://comidadibuteco.com.br/buteco/antero-bar-e-restaurante/,-21.722175669226154,-43.35624560724393
Bar Dias,"Rua Luiz Rocha, 2 | Santa Terezinha, Juiz de Fora - MG",Santa Terezinha,https://comidadibuteco.com.br/buteco/3695-revision-v1/,-21.732271589342368,-43.364445324218
Bar do Abílio,"Rua Fonseca Hermes, 180 | Centro, Juiz de Fora - MG",Centro,https://comidadibuteco.com.br/buteco/3697-revision-v1/,-21.758505400297267,-43.346377543619205
Bar do Antônio,"Rua José Lourenço, 1262 | São Pedro, Juiz de Fora - MG",São Pedro,https://comidadibuteco.com.br/buteco/bar-do-antonio/,-21.770170121204664,-43.37876895109042
Bar do Bené,"Rua João Batista Sampaio, 150 | São Pedro, Juiz de Fora - MG",São Pedro,https://comidadibuteco.com.br/buteco/3699-revision-v1/,-21.775494512060437,-43.37801928717406
Bar do Jorge,"Avenida Pedro Henrique Krambeck, 210 | São Pedro, Juiz de Fora - MG",São Pedro,https://comidadibuteco.com.br/buteco/bar-do-jorge/,-21.77249557620366,-43.38214691353723
Bar do Luiz,"Avenida Eugênio do Nascimento, 240 | Aeroporto, Juiz de Fora - MG",Aeroporto,https://comidadibuteco.com.br/buteco/3707-revision-v1/,-21.792425569108026,-43.3825675420089
Bar do Marquim,"Rua Santo Antônio, 10 | Centro, Juiz de Fora - MG",Centro,https://comidadibuteco.com.br/buteco/bar-do-marquim/,-21.136663849999998,-44.26321461100663
Bar do Passarinho,"Rua Rafael Zacarias, 500 | Democrata, Juiz de Fora - MG",Democrata,https://comidadibuteco.com.br/buteco/bar-do-passarinho/,-21.748286720354695,-43.36521090891972
Bar do Tião,"Rua José Appolônio dos Reis, 312 | Aeroporto, Juiz de Fora - MG",Aeroporto,https://comidadibuteco.com.br/buteco/bar-do-tiao/,-21.787293515151354,-43.382824475441055
Bar do Torresmo,"Avenida Darcy Vargas, 31 | Ipiranga, Juiz de Fora - MG",Ipiranga,https://comidadibuteco.com.br/buteco/10328-revision-v1/,-21.798472792687328,-43.34693096951639
Bar du Buneco,"Rua Eugênio Fontainha, 337 | Manoel Honório, Juiz de Fora - MG",Manoel Honório,https://comidadibuteco.com.br/buteco/bar-du-buneco/,-21.741357789361974,-43.34877390230853
Bar du Chico,"Rua Olegário Maciel, 1147 | Paineiras, Juiz de Fora - MG",Paineiras,https://comidadibuteco.com.br/buteco/bar-du-chico/,-21.768495373441763,-43.35506064936745
Bar e Restaurante Silva,"Avenida Olavo Bilac, 647 | Cerâmica, Juiz de Fora - MG",Cerâmica,https://comidadibuteco.com.br/buteco/bar-e-restaurante-silva/,-21.73952020540275,-43.381047746875836
