name,address,bairro,link,lat,lng
Assada e Cia.,"Rua Visconde de Mauá, 168 | Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/assada-e-cia-4/,-23.3007172,-51.17547012692651
Bar Brasil,"Rua Prefeito Hugo Cabral, 757 | Centro, Londrina - PR",Centro,https://comidadibuteco.com.br/buteco/bar-brasil/,-23.312128448016814,-51.16400695227619
Bar Budo Espetos do Lago,"Rua Professor Joaquim de Matos Barreto, 1240 | Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/bar-budo-espetos-do-lago-2/,-23.323057537705594,-51.178974754718844
Bar da Praça,"Rua Deputado Fernando Ferrari, 963 | Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/bar-da-praca/,-23.303290029377887,-51.184493066985006
Bar São Vicente,"Rua São Vicente, 1173 | Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/bar-sao-vicente-2/,-23.300370093538497,-51.1602627
Barile Bar,"Rua Paranaguá, 1146 | Centro, Londrina - PR",Centro,https://comidadibuteco.com.br/buteco/barile-bar/,-23.312297086133345,-51.16926480797342
Chik Grill Petiscaria,"Avenida Saul Elkind, 2244 | Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/chik-grill-petiscaria/,-23.260107011125406,-51.16469778684043
Colibri Café Bar,"Rua Marcílio Dias, 373 | Jardim Petrópolis, Londrina - PR",Jardim Petrópolis,https://comidadibuteco.com.br/buteco/colibri-cafe-bar-2/,-23.3334820974419,-51.15284272124162
Confraria 115,"Rua Guararapes, 111 | Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/confraria-115/,-23.32085584987093,-51.16928142054402
Distrito 43 Gastrobar,"Avenida Garibaldi Deliberador, 800 |Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/distrito-43-gastrobar-2/,-23.335427874562082,-51.170945241931115
Espetaria Mossoró,"Rua Mossoró, 483 | Centro, Londrina - PR",Centro,https://comidadibuteco.com.br/buteco/espetaria-mossoro-2/,-23.306596837833737,-51.16714696711727
Kato’s Salgados,"Rua Deputado Fernando Ferrari, 916 | Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/katos-salgados/,-23.303290029377887,-51.184493066985006
Lado do Lago,"Rua Professor Joaquim de Matos Barreto, 990 | Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/lado-do-lago/,-23.323057537705594,-51.178974754718844
Lanchonete Carolli,"Rua Arcindo Sardo, 197 |  Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/lanchonete-carolli/,-23.285874008239308,-51.180509269311074
Magnólia Bar e Restaurante,"Rua Humaitá, 198 |  Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/magnolia-bar-e-restaurante-2/,-23.32200881904232,-51.169509623832006
Poscai Bier,"Rua Pernambuco, 1039 | Centro, Londrina - PR",Centro,https://comidadibuteco.com.br/buteco/poscai-bier-2/,-23.313752204759865,-51.162758315564524
Quiosque Dona Onça,"Rua Senador Souza Naves, 1221 | Centro, Londrina - PR",Centro,https://comidadibuteco.com.br/buteco/quiosque-dona-onca-2/,-23.316028617160683,-51.15765805310284
Torresmeria,"Rua Fernando de Noronha, 725 | Centro, Londrina - PR",Centro,https://comidadibuteco.com.br/buteco/torresmeria/,-23.307707135120996,-51.16540847719264
Zé Benedito Comes e Bebes,"Rua Professor Samuel Moura, 555 | Londrina - PR",Londrina - PR,https://comidadibuteco.com.br/buteco/ze-benedito-comes-e-bebes/,-23.308758038833624,-51.17920174170593
