name,address,bairro,link,lat,lng
Alhos e Bugalhos,"Rua Desembargador Lima Castro, 66 | Fonseca, Niterói - RJ",Fonseca,https://comidadibuteco.com.br/buteco/alhos-e-bugalhos/,-22.88722485823963,-43.086917097496425
Alto da Ilha Bar,"Rua Cruzeiro, 317 | Ilha da Conceição, Niterói - RJ",Ilha da Conceição,https://comidadibuteco.com.br/buteco/alto-da-ilha-bar/,-22.870306366441458,-43.114786463556364
Âncoras Itaipu,"Praia de Itaipu, 24 | Itaipu, Niterói - RJ",Itaipu,https://comidadibuteco.com.br/buteco/ancoras-itaipu/,,
Armazém 7 Bar e Pub,"Rua Visconde de Morais, 270 | Ingá, Niterói - RJ",Ingá,https://comidadibuteco.com.br/buteco/armazem-7-bar-e-pub/,-22.90139065452486,-43.125462241847
Armazém do Caranguejo,"Rua Visconde de Itaboraí, 196 | Centro, Niterói - RJ",Centro,https://comidadibuteco.com.br/buteco/armazem-caranguejo/,-22.886073500000002,-43.12234991553227
Armazém Granel,"Rua Vereador Duque Estrada, 50 | Santa Rosa, Niterói - RJ",Santa Rosa,https://comidadibuteco.com.br/buteco/armazem-granel/,-22.89700687301346,-43.0985231765423
Bar da Laura,"Rua Visconde do Uruguai, 183 |  Niterói - RJ",Niterói - RJ,https://comidadibuteco.com.br/buteco/bar-da-laura-2/,,
Bar do Jorginho,"Praia de Itaipu, 5 | Itaipu, Niterói - RJ",Itaipu,https://comidadibuteco.com.br/buteco/bar-do-jorginho/,,
Barão do Mar,"Praia de Itaipu, 21 | Itaipu, Niterói - RJ",Itaipu,https://comidadibuteco.com.br/buteco/barao-do-mar/,,
Cantinho da Tia Joana,"Praia de Itaipu, 16 | Itaipu, Niterói - RJ",Itaipu,https://comidadibuteco.com.br/buteco/cantinho-da-tia-joana/,,
Casa da Sogra,"Praia de Itaipu, 22 | Niterói - RJ",Niterói - RJ,https://comidadibuteco.com.br/buteco/casa-da-sogra/,,
Duas de Cada Bar e Petisqueria,"Praça Doutor Azevedo Cruz, 2 |  Niterói - RJ",Niterói - RJ,https://comidadibuteco.com.br/buteco/duas-de-cada-bar-e-petisqueria/,-22.884563297084764,-43.12643129378792
El Pescador Itaipu,"Praia de Itaipu, 27 | Itaipu, Niterói - RJ",Itaipu,https://comidadibuteco.com.br/buteco/el-pescador-itaipu/,,
Espaço Five Stars,"Avenida Rui Barbosa, 403 | São Francisco, Niterói - RJ",São Francisco,https://comidadibuteco.com.br/buteco/espaco-five-stars/,-22.91778199134735,-43.08608576293444
Familia Muniz,"Rua São Januário, 177 | Fonseca, Niterói - RJ",Fonseca,https://comidadibuteco.com.br/buteco/familia-muniz/,-22.87607718215835,-43.08692741450036
Friends Pub,"Rua Presidente Backer, 9 | Icaraí, Niterói - RJ",Icaraí,https://comidadibuteco.com.br/buteco/friends-pub/,-22.9060364,-43.1131534
Nossas Raízes Bistrô,"Rua Visconde de Sepetiba, 66 | Centro, Niterói - RJ",Centro,https://comidadibuteco.com.br/buteco/nossas-raizes-bistro/,-22.889736221954728,-43.119108438195106
Palitus Bar,"Avenida Carlos Ermelindo Marins, 501 | Jurujuba, Niterói - RJ",Jurujuba,https://comidadibuteco.com.br/buteco/palitus-bar/,-22.931658326350632,-43.11579390392764
Pli On Board,"Praia de Itaipu, 21 | Itaipu, Niterói - RJ",Itaipu,https://comidadibuteco.com.br/buteco/pli-on-board/,,
Porco Loko,"Rua Américo Oberlaender, 21 | Niterói - RJ",Niterói - RJ,https://comidadibuteco.com.br/buteco/porco-loko/,,
Skina Pub,"Rua Airton Dantas, 4 | Niterói - RJ",Niterói - RJ,https://comidadibuteco.com.br/buteco/skina-pub/,,
