name,address,bairro,link,lat,lng
A Bodega Cachaçaria,"Avenida Governador Carlos de Lima Cavalcante, 4035 | Casa Caiada, Olinda - PE",Casa Caiada,https://comidadibuteco.com.br/buteco/a-bodega-cachacaria/,-7.979038251936939,-34.83644060486691
Andrews Bar e Comedoria,"Segunda Travessa Djalma Dutra, 4 | Olinda - PE",Olinda - PE,https://comidadibuteco.com.br/buteco/andrews-bar-e-comedoria/,-8.025851781435147,-34.86825517378123
Balcón Petiscaria,"Rua Alfredo Osório, 257 | Tamarineira, Recife - PE",Tamarineira,https://comidadibuteco.com.br/buteco/balcon-petiscaria/,-8.028155494601492,-34.906395284401256
Bar do Cabo,"Rua Nanuque, 37 | Recife - PE",Recife - PE,https://comidadibuteco.com.br/buteco/4051-revision-v1/,,
Bar do Lula,"Rua Engenheiro Otávio Arantes | Imbiribeira, Recife - PE",Imbiribeira,https://comidadibuteco.com.br/buteco/bar-do-lula/,-8.086132767973593,-34.90890167191728
Bar do Peixe,"Rua Albacora, 26 | Brasília Teimosa, Recife - PE",Brasília Teimosa,https://comidadibuteco.com.br/buteco/4054-revision-v1/,-8.085657761780766,-34.87995700083546
Bar do Ró,"Rua São João, 345 | Guadalupe, Olinda - PE",Guadalupe,https://comidadibuteco.com.br/buteco/bar-do-ro/,-8.010544764984372,-34.85457380498949
Bar do Vizinho,"Rua da Santa Cruz | Boa Vista, Recife - PE",Boa Vista,https://comidadibuteco.com.br/buteco/10360-revision-v1/,-8.063031110767268,-34.88857216671219
Barraca Beer,"Rua Padre Lemos, 785 | Casa Amarela, Recife - PE",Casa Amarela,https://comidadibuteco.com.br/buteco/barraca-beer/,-8.0214161,-34.9214026
Barteco,"Rua do Bom Pastor, 366 | Iputinga, Recife - PE",Iputinga,https://comidadibuteco.com.br/buteco/barteco/,-8.0439108,-34.9396973
Belém,"Rua Pedro Alves, 79 | Encruzilhada, Recife - PE",Encruzilhada,https://comidadibuteco.com.br/buteco/belem-2/,-8.0362434,-34.892072
Bistrô do Alto,"Rua Santa Isabel, 655 | Recife - PE",Recife - PE,https://comidadibuteco.com.br/buteco/bistro-do-alto/,-7.943704326767305,-35.02677035401156
Bodega Bento Muniz,"Rua Manuel Salvador, 140 - Casa | Barro, Recife - PE",Barro,https://comidadibuteco.com.br/buteco/bodega-bento-muniz/,,
