name,address,bairro,link,lat,lng
Bãopadaná,"Rua Fiorindo Golghetto, 540 | Pôr do Sol, Bady Bassitt - SP",Pôr do Sol,https://comidadibuteco.com.br/buteco/baopadana/,,
Bar da Vilma,"Avenida México, 525 | Jardim América, São José do Rio Preto - SP",Jardim América,https://comidadibuteco.com.br/buteco/bar-da-vilma-2/,-20.7991849,-49.3660793
Bar do Cidinho,"Rua Capitão José de Castro, 378 | Vila Anchieta, São José do Rio Preto - SP",Vila Anchieta,https://comidadibuteco.com.br/buteco/bar-do-cidinho/,-20.7954965,-49.3724983
Bar do Pirata (Antigo Bar do Paulo),"Rua Coronel Spinola Castro, 4228 | São José do Rio Preto - SP",São José do Rio Preto - SP,https://comidadibuteco.com.br/buteco/bar-do-pirata-antigo-bar-do-paulo/,,
Bar do Rubinho,"Avenida Fernando Costa, 2590 | Centro, Mirassol - SP",Centro,https://comidadibuteco.com.br/buteco/3205-autosave-v1/,-20.815412,-49.5137325
Bom Bar – Bar do Marquinho,"Rua Coronel Spinola Castro, 4350 | São José do Rio Preto - SP",São José do Rio Preto - SP,https://comidadibuteco.com.br/buteco/bom-bar-bar-do-marquinho/,,
Boteco do Marcinho,"Avenida Vinte e Cinco de Janeiro, 404 | Vila Anchieta, São José do Rio Preto - SP",Vila Anchieta,https://comidadibuteco.com.br/buteco/boteco-do-marcinho/,-20.7974249,-49.372511
Brasaria Empório e Grill,"Rua Abrão Thomé, 602 | São José do Rio Preto - SP",São José do Rio Preto - SP,https://comidadibuteco.com.br/buteco/brasaria-emporio-e-grill/,-20.8375801,-49.3863154
Buteco Du Gaúcho,"Rua Coronel Spinola Castro, 4496 | São José do Rio Preto - SP",São José do Rio Preto - SP,https://comidadibuteco.com.br/buteco/buteco-du-gaucho/,,
Empório do Caboclo,"Rua São Vicente de Paula, 2871 | Mirassol - SP",Mirassol - SP,https://comidadibuteco.com.br/buteco/emporio-do-caboclo/,-20.8232868,-49.5043415
Espetaria Santa Felicidade,"Rua Atlântida, 115 | Vila Ideal, São José do Rio Preto - SP",Vila Ideal,https://comidadibuteco.com.br/buteco/espetaria-santa-felicidade/,-20.800861,-49.361812
Espetaria Todo Dia,"Avenida Romeu Strazzi, 1781 | São José do Rio Preto - SP",São José do Rio Preto - SP,https://comidadibuteco.com.br/buteco/espetaria-todo-dia/,-20.832024,-49.3874652
Espetinho Machado,"Avenida Doutor Fernando Costa, 1219 | Jardim Primavera, São José do Rio Preto - SP",Jardim Primavera,https://comidadibuteco.com.br/buteco/espetinho-machado/,-20.8028998,-49.358364
Fidelis Bar da Sombra,"Rua da Imprensa, 1039 | Parque Celeste, São José do Rio Preto - SP",Parque Celeste,https://comidadibuteco.com.br/buteco/fidelis-bar-da-sombra/,-20.8197228,-49.3660382
Fino Sabor,"Rua Pedro Martins, 90 | São José do Rio Preto - SP",São José do Rio Preto - SP,https://comidadibuteco.com.br/buteco/fino-sabor/,-20.7697491,-49.3937984
Gambófa,"Rua Santa Maria, 559 | Vila Aurora, São José do Rio Preto - SP",Vila Aurora,https://comidadibuteco.com.br/buteco/gambofa/,-20.8206189,-49.3777549
Odin Bar,"Rua Saldanha Marinho, 4240 | Vila Aurora, São José do Rio Preto - SP",Vila Aurora,https://comidadibuteco.com.br/buteco/odin-bar/,-20.8145807,-49.3841618
Oiti Butiquim,"Rua Benjamim Constant, 3807 | São José do Rio Preto - SP",São José do Rio Preto - SP,https://comidadibuteco.com.br/buteco/oiti-butiquim/,,
Taberna da Vila,"Rua Conselheiro Saraiva, 809 |São José do Rio Preto - SP",São José do Rio Preto - SP,https://comidadibuteco.com.br/buteco/taberna-da-vila/,-20.8133505,-49.3701543
Tom Nosso,"Rua Antônio de Godoy, 3048 | Centro, São José do Rio Preto - SP",Centro,https://comidadibuteco.com.br/buteco/tom-nosso/,-20.813326449999998,-49.379321959726006
Uai Steak,"Rua Coronel Spínola Castro, 4664 | São José do Rio Preto - SP",São José do Rio Preto - SP,https://comidadibuteco.com.br/buteco/uai-steak/,,
União FC: Bar da Várzea,"Rua Josepha da Costa Guimarães Foloni, 511 | Gonzaga de Campos, São José do Rio Preto - SP",Gonzaga de Campos,https://comidadibuteco.com.br/buteco/uniao-fc-bar-da-varzea/,-20.8112136,-49.4249887
