name,address,bairro,link,lat,lng
Arrojado’s Bar,"Av. das Flores, 25 - Ideal, Ipatinga - MG",Ideal,https://comidadibuteco.com.br/buteco/arrojados-bar-2/,-19.47188642826634,-42.57575978940997
Bar do Macário,"Rua Teresópolis, 225 | Veneza, Ipatinga - MG",Veneza,https://comidadibuteco.com.br/buteco/bar-do-macario/,-19.47163500256488,-42.531466955543834
Bar do Paulinho,"Rua Cento e Trinta e Dois, 492 | Santa Maria, Timóteo - MG",Santa Maria,https://comidadibuteco.com.br/buteco/bar-do-paulinho/,-19.54463357835686,-42.62662167299989
Bar Galpão,"Avenida José Fabrício Gomes, 213 | Bethânia, Ipatinga - MG",Bethânia,https://comidadibuteco.com.br/buteco/bar-galpao-2/,-19.4355675126177,-42.551139859888245
Box 70 Lounge Bar,"Rua João Napoleão da Cruz, 255 | Centro, Ipatinga - MG",Centro,https://comidadibuteco.com.br/buteco/box-70-lounge-bar/,,
Butiquim,"Rua Adriel Abílio Gonçalves, 126 - Veneza, Ipatinga - MG",Veneza,https://comidadibuteco.com.br/buteco/butiquim/,-19.4640944,-42.5308153
Caladinho Bar,"Rua dos Bororós, 65 | Ipatinga - MG",Ipatinga - MG,https://comidadibuteco.com.br/buteco/caladinho-bar/,,
Crif Steak Beer,"Rua Tiradentes, 48 | Cidade Nobre, Ipatinga - MG",Cidade Nobre,https://comidadibuteco.com.br/buteco/crif-steak-beer/,-19.469611717096527,-42.56149868214345
Cultura e Malte,"Avenida Paladium, 295 | Imbaúbas, Ipatinga - MG",Imbaúbas,https://comidadibuteco.com.br/buteco/cultura-e-malte/,-19.511489,-42.563136650000004
Nunes Bar,"Avenida Londrina, 280 | Veneza, Ipatinga - MG",Veneza,https://comidadibuteco.com.br/buteco/nunes-bar/,-19.46586273218825,-42.52466988089911
Open Bar,"Rua Pedras Preciosas, 551 | Iguaçu, Ipatinga - MG",Iguaçu,https://comidadibuteco.com.br/buteco/open-bar/,-19.47395246974163,-42.54564704550303
Pop’s Bar,"Rua Mário de Andrade, 346 - Cidade Nova - Santana do Paraíso - MG",,https://comidadibuteco.com.br/buteco/pops-bar/,,
Recanto da Picanha,"Rua Dom Pedro II, 174 | Cidade Nobre, Ipatinga - MG",Cidade Nobre,https://comidadibuteco.com.br/buteco/10304-revision-v1/,-19.468892699999998,-42.5591845
Timonel,"Rua Milton Campos, 205 | Cidade Nobre, Ipatinga - MG",Cidade Nobre,https://comidadibuteco.com.br/buteco/timonel/,-19.467040336352397,-42.56008442158495
To na Praça,"Rua Maria Rodrigues de Carvalho, 879 | Novo Horizonte, Timóteo - MG",Novo Horizonte,https://comidadibuteco.com.br/buteco/to-na-praca/,-19.54952075305392,-42.63418591174456
Tobas Bar,"Avenida Monteiro Lobato, 876 | Cidade Nobre, Ipatinga - MG",Cidade Nobre,https://comidadibuteco.com.br/buteco/tobas-bar/,-19.466383336519847,-42.56241297728473
Wave House,"Rua Dom Pedro II, 185 | Cidade Nobre, Ipatinga - MG",Cidade Nobre,https://comidadibuteco.com.br/buteco/wave-house/,-19.46920690225363,-42.56167707367887
